DataSet,Num Features,Gene List,Model,Precision,Recall,Accuracy,F1,AUROC
Multiomics,37,mRNA Var,LR,0.75,0.6857142857142857,0.7285714285714285,0.7164179104477612,0.803469387755102
Multiomics,37,mRNA Var,KNN,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6030612244897959
Multiomics,37,mRNA Var,RF,0.9384615384615385,0.8714285714285714,0.9071428571428571,0.9037037037037037,0.954795918367347
Multiomics,37,mRNA Var,NB,0.7246376811594203,0.7142857142857143,0.7214285714285714,0.7194244604316546,0.7728571428571429
mRNA,20,mRNA Var,LR,0.7272727272727273,0.6857142857142857,0.7142857142857143,0.7058823529411764,0.7548979591836734
mRNA,20,mRNA Var,KNN,0.5769230769230769,0.6428571428571429,0.5857142857142857,0.6081081081081081,0.6233673469387755
mRNA,20,mRNA Var,RF,0.8955223880597015,0.8571428571428571,0.8785714285714286,0.8759124087591241,0.9591836734693878
mRNA,20,mRNA Var,NB,0.7164179104477612,0.6857142857142857,0.7071428571428572,0.7007299270072992,0.7722448979591837
Methylation,17,mRNA Var,LR,0.7647058823529411,0.7428571428571429,0.7571428571428571,0.7536231884057971,0.7665306122448979
Methylation,17,mRNA Var,KNN,0.7666666666666667,0.6571428571428571,0.7285714285714285,0.7076923076923077,0.7840816326530613
Methylation,17,mRNA Var,RF,0.7166666666666667,0.6142857142857143,0.6857142857142857,0.6615384615384615,0.776734693877551
Methylation,17,mRNA Var,NB,0.6619718309859155,0.6714285714285714,0.6642857142857143,0.6666666666666666,0.6857142857142857
Multiomics,27,Methyl Var,LR,0.7704918032786885,0.6714285714285714,0.7357142857142858,0.7175572519083969,0.7510204081632652
Multiomics,27,Methyl Var,KNN,0.6923076923076923,0.6428571428571429,0.6785714285714286,0.6666666666666666,0.7076530612244898
Multiomics,27,Methyl Var,RF,0.8703703703703703,0.6714285714285714,0.7857142857142857,0.7580645161290323,0.878673469387755
Multiomics,27,Methyl Var,NB,0.5866666666666667,0.6285714285714286,0.5928571428571429,0.6068965517241379,0.6410204081632653
mRNA,7,Methyl Var,LR,0.5512820512820513,0.6142857142857143,0.5571428571428572,0.581081081081081,0.5997959183673469
mRNA,7,Methyl Var,KNN,0.5970149253731343,0.5714285714285714,0.5928571428571429,0.583941605839416,0.6231632653061225
mRNA,7,Methyl Var,RF,0.8688524590163934,0.7571428571428571,0.8214285714285714,0.8091603053435115,0.881530612244898
mRNA,7,Methyl Var,NB,0.5625,0.6428571428571429,0.5714285714285714,0.6000000000000001,0.6357142857142857
Methylation,20,Methyl Var,LR,0.7272727272727273,0.6857142857142857,0.7142857142857143,0.7058823529411764,0.753469387755102
Methylation,20,Methyl Var,KNN,0.7333333333333333,0.6285714285714286,0.7,0.6769230769230768,0.7536734693877551
Methylation,20,Methyl Var,RF,0.711864406779661,0.6,0.6785714285714286,0.6511627906976744,0.7911224489795918
Methylation,20,Methyl Var,NB,0.5833333333333334,0.6,0.5857142857142857,0.591549295774648,0.5977551020408163
Multiomics,61,Prot Var,LR,0.532258064516129,0.4714285714285714,0.5285714285714286,0.4999999999999999,0.5761224489795919
Multiomics,61,Prot Var,KNN,0.6363636363636364,0.4,0.5857142857142857,0.4912280701754386,0.581530612244898
Multiomics,61,Prot Var,RF,0.7796610169491526,0.6571428571428571,0.7357142857142858,0.7131782945736433,0.8002040816326531
Multiomics,61,Prot Var,NB,0.5757575757575758,0.5428571428571428,0.5714285714285714,0.5588235294117646,0.5455102040816326
mRNA,21,Prot Var,LR,0.5072463768115942,0.5,0.5071428571428571,0.5035971223021583,0.4889795918367347
mRNA,21,Prot Var,KNN,0.5102040816326531,0.35714285714285715,0.5071428571428571,0.4201680672268908,0.506326530612245
mRNA,21,Prot Var,RF,0.48214285714285715,0.38571428571428573,0.4857142857142857,0.4285714285714286,0.4741836734693877
mRNA,21,Prot Var,NB,0.47368421052631576,0.38571428571428573,0.4785714285714286,0.4251968503937008,0.47551020408163264
Methylation,20,Prot Var,LR,0.704225352112676,0.7142857142857143,0.7071428571428572,0.7092198581560283,0.6665306122448981
Methylation,20,Prot Var,KNN,0.7205882352941176,0.7,0.7142857142857143,0.7101449275362319,0.7743877551020408
Methylation,20,Prot Var,RF,0.7413793103448276,0.6142857142857143,0.7,0.671875,0.7892857142857144
Methylation,20,Prot Var,NB,0.5254237288135594,0.44285714285714284,0.5214285714285715,0.4806201550387597,0.5619387755102041
Proteomics,20,Prot Var,LR,0.6666666666666666,0.6285714285714286,0.6571428571428571,0.6470588235294118,0.6018367346938776
Proteomics,20,Prot Var,KNN,0.6617647058823529,0.6428571428571429,0.6571428571428571,0.6521739130434783,0.7007142857142856
Proteomics,20,Prot Var,RF,0.5964912280701754,0.4857142857142857,0.5785714285714286,0.5354330708661418,0.6576530612244899
Proteomics,20,Prot Var,NB,0.5757575757575758,0.5428571428571428,0.5714285714285714,0.5588235294117646,0.5514285714285714
Multiomics,125,multiomic Var,LR,0.734375,0.6714285714285714,0.7142857142857143,0.7014925373134329,0.7897959183673469
Multiomics,125,multiomic Var,KNN,0.6862745098039216,0.5,0.6357142857142857,0.5785123966942148,0.6614285714285715
Multiomics,125,multiomic Var,RF,0.873015873015873,0.7857142857142857,0.8357142857142857,0.8270676691729324,0.9286734693877551
Multiomics,125,multiomic Var,NB,0.676056338028169,0.6857142857142857,0.6785714285714286,0.6808510638297872,0.703469387755102
mRNA,48,multiomic Var,LR,0.7183098591549296,0.7285714285714285,0.7214285714285714,0.7234042553191489,0.7424489795918366
mRNA,48,multiomic Var,KNN,0.6101694915254238,0.5142857142857142,0.5928571428571429,0.5581395348837208,0.6335714285714286
mRNA,48,multiomic Var,RF,0.9016393442622951,0.7857142857142857,0.85,0.8396946564885497,0.940204081632653
mRNA,48,multiomic Var,NB,0.7258064516129032,0.6428571428571429,0.7,0.6818181818181818,0.7477551020408163
Methylation,57,multiomic Var,LR,0.7794117647058824,0.7571428571428571,0.7714285714285715,0.7681159420289856,0.7804081632653062
Methylation,57,multiomic Var,KNN,0.75,0.6428571428571429,0.7142857142857143,0.6923076923076924,0.778469387755102
Methylation,57,multiomic Var,RF,0.75,0.4714285714285714,0.6571428571428571,0.5789473684210525,0.7690816326530612
Methylation,57,multiomic Var,NB,0.6438356164383562,0.6714285714285714,0.65,0.6573426573426574,0.6605102040816326
