Dataset,Gene List,Model,FPR,TPR,Thresholds
Multiomics,mRNA Var,LR,0.0,0.0,1.9630222455303534
Multiomics,mRNA Var,LR,0.0,0.014285714285714285,0.9630222455303535
Multiomics,mRNA Var,LR,0.02857142857142857,0.014285714285714285,0.9161180760016304
Multiomics,mRNA Var,LR,0.02857142857142857,0.15714285714285714,0.8157487163103538
Multiomics,mRNA Var,LR,0.04285714285714286,0.15714285714285714,0.8115602797126013
Multiomics,mRNA Var,LR,0.04285714285714286,0.2,0.7841120490007556
Multiomics,mRNA Var,LR,0.05714285714285714,0.2,0.7835513210239947
Multiomics,mRNA Var,LR,0.05714285714285714,0.22857142857142856,0.7691353025840894
Multiomics,mRNA Var,LR,0.07142857142857142,0.22857142857142856,0.7591292623946344
Multiomics,mRNA Var,LR,0.07142857142857142,0.42857142857142855,0.7007917608200787
Multiomics,mRNA Var,LR,0.08571428571428572,0.42857142857142855,0.7003778863063443
Multiomics,mRNA Var,LR,0.08571428571428572,0.45714285714285713,0.6787462647193635
Multiomics,mRNA Var,LR,0.1,0.45714285714285713,0.6644943678728963
Multiomics,mRNA Var,LR,0.1,0.4857142857142857,0.6580126269544534
Multiomics,mRNA Var,LR,0.12857142857142856,0.4857142857142857,0.6506734822365723
Multiomics,mRNA Var,LR,0.12857142857142856,0.5142857142857142,0.6200226930665839
Multiomics,mRNA Var,LR,0.14285714285714285,0.5142857142857142,0.618525291125069
Multiomics,mRNA Var,LR,0.14285714285714285,0.5714285714285714,0.6072125855965824
Multiomics,mRNA Var,LR,0.17142857142857143,0.5714285714285714,0.59207565208378
Multiomics,mRNA Var,LR,0.17142857142857143,0.6,0.5552732130903079
Multiomics,mRNA Var,LR,0.18571428571428572,0.6,0.5547796198342845
Multiomics,mRNA Var,LR,0.18571428571428572,0.6428571428571429,0.538980455286262
Multiomics,mRNA Var,LR,0.21428571428571427,0.6428571428571429,0.527043682299239
Multiomics,mRNA Var,LR,0.21428571428571427,0.6857142857142857,0.5074627200971791
Multiomics,mRNA Var,LR,0.22857142857142856,0.6857142857142857,0.5066193639467615
Multiomics,mRNA Var,LR,0.22857142857142856,0.7,0.49626214739791935
Multiomics,mRNA Var,LR,0.24285714285714285,0.7,0.4859489547221358
Multiomics,mRNA Var,LR,0.24285714285714285,0.7142857142857143,0.4776413212796892
Multiomics,mRNA Var,LR,0.2571428571428571,0.7142857142857143,0.4740448616960273
Multiomics,mRNA Var,LR,0.2571428571428571,0.7428571428571429,0.47288473386860136
Multiomics,mRNA Var,LR,0.2714285714285714,0.7428571428571429,0.4701143508531301
Multiomics,mRNA Var,LR,0.2714285714285714,0.7571428571428571,0.46444272787059143
Multiomics,mRNA Var,LR,0.2857142857142857,0.7571428571428571,0.4640664862341962
Multiomics,mRNA Var,LR,0.2857142857142857,0.7714285714285715,0.4545776785973902
Multiomics,mRNA Var,LR,0.3,0.7714285714285715,0.44722710537758253
Multiomics,mRNA Var,LR,0.3,0.7857142857142857,0.4379622872780707
Multiomics,mRNA Var,LR,0.34285714285714286,0.7857142857142857,0.4207051432352707
Multiomics,mRNA Var,LR,0.34285714285714286,0.8,0.4148817417212153
Multiomics,mRNA Var,LR,0.37142857142857144,0.8,0.4088319194280942
Multiomics,mRNA Var,LR,0.37142857142857144,0.8142857142857143,0.4058134344316225
Multiomics,mRNA Var,LR,0.38571428571428573,0.8142857142857143,0.40274422315134806
Multiomics,mRNA Var,LR,0.38571428571428573,0.8285714285714286,0.40132067729090526
Multiomics,mRNA Var,LR,0.4,0.8285714285714286,0.3993500585411951
Multiomics,mRNA Var,LR,0.4,0.8857142857142857,0.38660466963973666
Multiomics,mRNA Var,LR,0.5285714285714286,0.8857142857142857,0.35530364565126277
Multiomics,mRNA Var,LR,0.5285714285714286,0.9,0.35154114419171834
Multiomics,mRNA Var,LR,0.5428571428571428,0.9,0.34888254970252297
Multiomics,mRNA Var,LR,0.5428571428571428,0.9142857142857143,0.3439479597261418
Multiomics,mRNA Var,LR,0.5571428571428572,0.9142857142857143,0.3380191020225643
Multiomics,mRNA Var,LR,0.5571428571428572,0.9285714285714286,0.3335835218704946
Multiomics,mRNA Var,LR,0.6142857142857143,0.9285714285714286,0.30867684036875837
Multiomics,mRNA Var,LR,0.6142857142857143,0.9714285714285714,0.29508516754976255
Multiomics,mRNA Var,LR,0.7285714285714285,0.9714285714285714,0.24733486481088093
Multiomics,mRNA Var,LR,0.7285714285714285,0.9857142857142858,0.24318879069524077
Multiomics,mRNA Var,LR,0.7428571428571429,0.9857142857142858,0.24243245209632996
Multiomics,mRNA Var,LR,0.7428571428571429,1.0,0.22802124569066312
Multiomics,mRNA Var,LR,1.0,1.0,0.10112429207307233
Multiomics,mRNA Var,KNN,0.0,0.0,2.0
Multiomics,mRNA Var,KNN,0.02857142857142857,0.05714285714285714,1.0
Multiomics,mRNA Var,KNN,0.1,0.3142857142857143,0.8
Multiomics,mRNA Var,KNN,0.42857142857142855,0.5714285714285714,0.6
Multiomics,mRNA Var,KNN,0.7571428571428571,0.7714285714285715,0.4
Multiomics,mRNA Var,KNN,0.8714285714285714,0.9428571428571428,0.2
Multiomics,mRNA Var,KNN,1.0,1.0,0.0
Multiomics,mRNA Var,RF,0.0,0.0,2.0
Multiomics,mRNA Var,RF,0.0,0.21428571428571427,1.0
Multiomics,mRNA Var,RF,0.0,0.4142857142857143,0.9
Multiomics,mRNA Var,RF,0.014285714285714285,0.6,0.8
Multiomics,mRNA Var,RF,0.05714285714285714,0.7857142857142857,0.7
Multiomics,mRNA Var,RF,0.05714285714285714,0.8714285714285714,0.6
Multiomics,mRNA Var,RF,0.18571428571428572,0.9285714285714286,0.5
Multiomics,mRNA Var,RF,0.24285714285714285,0.9285714285714286,0.4
Multiomics,mRNA Var,RF,0.4,0.9857142857142858,0.3
Multiomics,mRNA Var,RF,0.5857142857142857,1.0,0.2
Multiomics,mRNA Var,RF,0.7571428571428571,1.0,0.1
Multiomics,mRNA Var,RF,1.0,1.0,0.0
Multiomics,mRNA Var,NB,0.0,0.0,1.9999999999999858
Multiomics,mRNA Var,NB,0.0,0.014285714285714285,0.9999999999999858
Multiomics,mRNA Var,NB,0.0,0.04285714285714286,0.9999999999956088
Multiomics,mRNA Var,NB,0.04285714285714286,0.04285714285714286,0.9998365873226337
Multiomics,mRNA Var,NB,0.04285714285714286,0.08571428571428572,0.999644685216254
Multiomics,mRNA Var,NB,0.05714285714285714,0.08571428571428572,0.999581958136733
Multiomics,mRNA Var,NB,0.05714285714285714,0.12857142857142856,0.9989056764068176
Multiomics,mRNA Var,NB,0.07142857142857142,0.12857142857142856,0.998710895137361
Multiomics,mRNA Var,NB,0.07142857142857142,0.24285714285714285,0.9901794368285638
Multiomics,mRNA Var,NB,0.08571428571428572,0.24285714285714285,0.9884709337905119
Multiomics,mRNA Var,NB,0.08571428571428572,0.2571428571428571,0.9882295649603918
Multiomics,mRNA Var,NB,0.1,0.2571428571428571,0.981476988439993
Multiomics,mRNA Var,NB,0.1,0.3142857142857143,0.9747437663493659
Multiomics,mRNA Var,NB,0.11428571428571428,0.3142857142857143,0.9610783123044868
Multiomics,mRNA Var,NB,0.11428571428571428,0.44285714285714284,0.9043800213444089
Multiomics,mRNA Var,NB,0.12857142857142856,0.44285714285714284,0.8858686031272385
Multiomics,mRNA Var,NB,0.12857142857142856,0.45714285714285713,0.8831104758510783
Multiomics,mRNA Var,NB,0.14285714285714285,0.45714285714285713,0.8730185766656514
Multiomics,mRNA Var,NB,0.14285714285714285,0.5714285714285714,0.765841372992108
Multiomics,mRNA Var,NB,0.15714285714285714,0.5714285714285714,0.6950838072988346
Multiomics,mRNA Var,NB,0.15714285714285714,0.6,0.6723871597156821
Multiomics,mRNA Var,NB,0.18571428571428572,0.6,0.6598563193639162
Multiomics,mRNA Var,NB,0.18571428571428572,0.6285714285714286,0.6361906255352833
Multiomics,mRNA Var,NB,0.24285714285714285,0.6285714285714286,0.5906085493949452
Multiomics,mRNA Var,NB,0.24285714285714285,0.6571428571428571,0.564687280490262
Multiomics,mRNA Var,NB,0.2571428571428571,0.6571428571428571,0.5445417672289483
Multiomics,mRNA Var,NB,0.2571428571428571,0.7,0.5060852154400662
Multiomics,mRNA Var,NB,0.2714285714285714,0.7,0.505881136611916
Multiomics,mRNA Var,NB,0.2714285714285714,0.7571428571428571,0.4309090663565126
Multiomics,mRNA Var,NB,0.2857142857142857,0.7571428571428571,0.4274390362113814
Multiomics,mRNA Var,NB,0.2857142857142857,0.7714285714285715,0.41557313303650323
Multiomics,mRNA Var,NB,0.32857142857142857,0.7714285714285715,0.30766770598188115
Multiomics,mRNA Var,NB,0.32857142857142857,0.8142857142857143,0.19980800203912388
Multiomics,mRNA Var,NB,0.35714285714285715,0.8142857142857143,0.18814212838978672
Multiomics,mRNA Var,NB,0.35714285714285715,0.8428571428571429,0.1677763328651793
Multiomics,mRNA Var,NB,0.37142857142857144,0.8428571428571429,0.16631118333247846
Multiomics,mRNA Var,NB,0.37142857142857144,0.8571428571428571,0.16582237453341295
Multiomics,mRNA Var,NB,0.44285714285714284,0.8571428571428571,0.11933215221297354
Multiomics,mRNA Var,NB,0.44285714285714284,0.9,0.0854498705646167
Multiomics,mRNA Var,NB,0.6285714285714286,0.9,0.03005802374590062
Multiomics,mRNA Var,NB,0.6285714285714286,0.9142857142857143,0.029904806885114273
Multiomics,mRNA Var,NB,0.6428571428571429,0.9142857142857143,0.027723796136082272
Multiomics,mRNA Var,NB,0.6428571428571429,0.9285714285714286,0.02689809246638382
Multiomics,mRNA Var,NB,0.6571428571428571,0.9285714285714286,0.024066751498102605
Multiomics,mRNA Var,NB,0.6571428571428571,0.9428571428571428,0.0187369361878511
Multiomics,mRNA Var,NB,0.8857142857142857,0.9428571428571428,0.002748962623692667
Multiomics,mRNA Var,NB,0.8857142857142857,0.9857142857142858,0.002217664124385066
Multiomics,mRNA Var,NB,0.9428571428571428,0.9857142857142858,0.0005358621015934332
Multiomics,mRNA Var,NB,0.9428571428571428,1.0,0.0004425488763144785
Multiomics,mRNA Var,NB,1.0,1.0,1.425003228507513e-05
mRNA,mRNA Var,LR,0.0,0.0,1.8507948919868749
mRNA,mRNA Var,LR,0.014285714285714285,0.0,0.8507948919868749
mRNA,mRNA Var,LR,0.014285714285714285,0.04285714285714286,0.8159159094624486
mRNA,mRNA Var,LR,0.02857142857142857,0.04285714285714286,0.8129689906455546
mRNA,mRNA Var,LR,0.02857142857142857,0.15714285714285714,0.7479731185222224
mRNA,mRNA Var,LR,0.04285714285714286,0.15714285714285714,0.7417039883018606
mRNA,mRNA Var,LR,0.04285714285714286,0.21428571428571427,0.7292729584837878
mRNA,mRNA Var,LR,0.05714285714285714,0.21428571428571427,0.727518781662339
mRNA,mRNA Var,LR,0.05714285714285714,0.22857142857142856,0.7272661134474367
mRNA,mRNA Var,LR,0.07142857142857142,0.22857142857142856,0.7205697687675549
mRNA,mRNA Var,LR,0.07142857142857142,0.4,0.6629252128149208
mRNA,mRNA Var,LR,0.08571428571428572,0.4,0.6608311526516751
mRNA,mRNA Var,LR,0.08571428571428572,0.42857142857142855,0.6575871084516338
mRNA,mRNA Var,LR,0.1,0.42857142857142855,0.6473225115395131
mRNA,mRNA Var,LR,0.1,0.44285714285714284,0.6363762049357855
mRNA,mRNA Var,LR,0.11428571428571428,0.44285714285714284,0.6362493119742694
mRNA,mRNA Var,LR,0.11428571428571428,0.4857142857142857,0.6280007132029154
mRNA,mRNA Var,LR,0.12857142857142856,0.4857142857142857,0.6237526795853598
mRNA,mRNA Var,LR,0.12857142857142856,0.5285714285714286,0.6044688467090025
mRNA,mRNA Var,LR,0.17142857142857143,0.5285714285714286,0.5841722609328659
mRNA,mRNA Var,LR,0.17142857142857143,0.5714285714285714,0.5679576081626557
mRNA,mRNA Var,LR,0.22857142857142856,0.5714285714285714,0.5412539557802939
mRNA,mRNA Var,LR,0.22857142857142856,0.6285714285714286,0.5258299787240254
mRNA,mRNA Var,LR,0.24285714285714285,0.6285714285714286,0.5196016211236828
mRNA,mRNA Var,LR,0.24285714285714285,0.6714285714285714,0.5122339645322372
mRNA,mRNA Var,LR,0.2571428571428571,0.6714285714285714,0.5071168767819764
mRNA,mRNA Var,LR,0.2571428571428571,0.7,0.4965665051718615
mRNA,mRNA Var,LR,0.2857142857142857,0.7,0.4850423382283559
mRNA,mRNA Var,LR,0.2857142857142857,0.7285714285714285,0.47173741440537864
mRNA,mRNA Var,LR,0.3,0.7285714285714285,0.46989508863738655
mRNA,mRNA Var,LR,0.3,0.7428571428571429,0.4662400601643714
mRNA,mRNA Var,LR,0.3142857142857143,0.7428571428571429,0.45859692357948817
mRNA,mRNA Var,LR,0.3142857142857143,0.7571428571428571,0.45834192383982036
mRNA,mRNA Var,LR,0.34285714285714286,0.7571428571428571,0.4468529140135518
mRNA,mRNA Var,LR,0.34285714285714286,0.7714285714285715,0.44347228850515685
