Severity,LR,KNN,RF,NB
0,0.1631566390694878,0.0,0.3,0.07016654075759178
0,0.4168453740820918,0.0,0.0,0.9453090257525062
1,0.5822524146473712,1.0,1.0,0.9773903394211787
0,0.26007358287431737,0.2,0.0,0.0017302655912867612
0,0.4168453740820918,0.0,0.0,0.9453090257525062
0,0.4168453740820918,0.0,0.0,0.9453090257525062
1,0.5822524146473712,1.0,1.0,0.9773903394211787
0,0.4168453740820918,0.0,0.0,0.9453090257525062
0,0.4168453740820918,0.0,0.0,0.9453090257525062
1,0.5822524146473712,1.0,1.0,0.9773903394211787
0,0.40987768788276674,0.0,0.0,0.9405188746747998
0,0.40987768788276674,0.0,0.0,0.9405188746747998
0,0.40987768788276674,0.0,0.0,0.9405188746747998
0,0.3985014168593226,0.4,0.1,0.0028578656231212623
1,0.8728077983059465,0.8,0.7,0.5745459786458275
1,0.4414885982655912,0.8,0.4,0.8106707631677498
1,0.7263950169410192,0.6,0.6,0.00811350308641745
1,0.5831272819952212,0.6,0.3,0.02897252801672334
0,0.27452065771404816,0.2,0.3,0.08622724532802337
1,0.4903955338414136,0.2,0.6,0.02710213102290393
0,0.5961459589825852,0.2,0.2,0.0009881278540770089
1,0.44381889552441756,0.2,0.5,4.1490067794771916e-05
1,0.5319624408409588,0.2,0.3,0.0006816017319136392
1,0.44134635911497877,0.4,0.6,0.12225962366858809
1,0.3887424426682342,0.6,0.5,0.0007325232365362815
1,0.5837094281210011,1.0,1.0,0.9807074329997284
1,0.5837094281210011,1.0,1.0,0.9807074329997284
1,0.5893074972364014,1.0,1.0,0.9205103593500261
1,0.5893074972364014,1.0,1.0,0.9205103593500261
1,0.5121704761708616,0.8,0.7,0.47943677556144204
0,0.4470343149975746,0.4,0.4,0.49265553586736016
1,0.3494990789743699,0.4,0.5,0.06783584288560264
0,0.21607002839048406,0.0,0.4,0.04996616814778527
0,0.6803385344811269,0.4,0.4,0.5814380955492687
0,0.38443335686790103,0.2,0.5,0.04396094137309237
0,0.40975104726524697,0.0,0.0,0.7823994225110157
0,0.43573442217645414,0.2,0.2,0.043049605966749754
0,0.6291183944498367,0.4,0.7,0.374167632789647
0,0.5441300917919978,0.4,0.8,0.8318042007160489
1,0.3913757514926347,0.0,0.5,0.6616958669416293
0,0.3350330349512907,0.8,0.7,0.013206144557627645
0,0.3122366959118917,0.0,0.6,0.30295286907014674
1,0.5144593284166202,0.2,0.5,0.36016068289933884
0,0.4221361003891679,0.0,0.4,0.7325367914271935
0,0.8203830006410441,0.8,0.7,0.938374330414358
1,0.5893074972364014,1.0,1.0,0.9205103593500261
0,0.355905436860465,0.2,0.3,0.053939336797540184
0,0.5028582274636126,0.4,0.3,0.0035975372151596757
0,0.41449913348930034,0.0,0.0,0.869298335245455
0,0.3837398057726747,0.4,0.3,0.11736006005241256
0,0.38877687753384677,0.2,0.3,0.42545335035644705
0,0.5402228925635617,0.4,0.6,0.48029516901578984
0,0.2267011395774957,0.8,0.6,0.08888643074315966
0,0.4506962821724645,0.6,0.7,0.10393326971492643
1,0.5018470465580824,0.2,0.4,0.020327663776642663
0,0.33032436078398053,0.6,0.5,0.08055571306767156
0,0.3021360323946188,0.6,0.4,0.09351264142321172
0,0.5234590102076007,0.2,0.2,0.04650525137831253
0,0.2211023860565932,0.2,0.5,0.008564953466301378
0,0.36092109510578374,0.4,0.6,0.26237525749633417
0,0.32506133889254707,0.4,0.3,0.4823322445640779
0,0.7037704802100541,0.8,0.8,0.9500018178876294
0,0.5378302150651648,0.0,0.5,0.6754789645195574
0,0.32353465117962965,0.6,0.5,0.5813083871562091
0,0.7917242920118321,0.4,0.5,0.10480589821042903
0,0.4397731603805154,0.4,0.4,0.7709056486611456
0,0.845143992919015,1.0,0.6,0.90147063101848
0,0.33465987273714015,0.4,0.3,0.15552395411766376
0,0.41169845568496816,0.0,0.0,0.9158715700202106
0,0.41169845568496816,0.0,0.0,0.9158715700202106
1,0.5907429785409711,1.0,1.0,0.9520125570261947
1,0.5907429785409711,1.0,1.0,0.9520125570261947
1,0.5907429785409711,1.0,1.0,0.9520125570261947
0,0.41169845568496816,0.0,0.0,0.9158715700202106
1,0.46626839952292093,0.4,0.7,0.21892099550448063
0,0.40581323248728257,0.0,0.0,0.8793771131527132
0,0.40581323248728257,0.0,0.0,0.8793771131527132
