Severity,LR,KNN,RF,NB
0,0.3013220389259024,0.4,0.1,0.14744408670699613
0,0.45203395307342836,0.0,0.0,0.16732871328762478
1,0.5427991013564574,1.0,1.0,0.34906444044171997
0,0.4403888485513061,0.0,0.4,0.16208030885488042
0,0.45203395307342836,0.0,0.0,0.16732871328762478
0,0.45203395307342836,0.0,0.0,0.16732871328762478
1,0.5427991013564574,1.0,1.0,0.34906444044171997
0,0.45203395307342836,0.0,0.0,0.16732871328762478
0,0.45203395307342836,0.0,0.0,0.16732871328762478
1,0.5427991013564574,1.0,1.0,0.34906444044171997
0,0.4534643924156023,0.0,0.0,0.18274196215782074
0,0.4534643924156023,0.0,0.0,0.18274196215782074
0,0.4534643924156023,0.0,0.0,0.18274196215782074
0,0.3026738632686027,0.2,0.1,0.024270328051437487
1,0.45152945493282676,0.8,0.4,0.16439697053669278
1,0.4387795938170799,0.0,0.4,0.2453815190836765
1,0.496596934948167,0.2,0.2,0.8386271297719936
1,0.6050290079838044,0.4,0.4,1.925852589993145e-06
0,0.4446632027486052,0.0,0.3,0.8099717859193863
1,0.5070228870664609,0.4,0.4,0.046492044993747476
0,0.518412255879768,0.4,0.6,0.9389807696176629
1,0.7473596640047105,0.8,0.8,0.9998477213645153
1,0.4423567328026101,0.4,0.5,0.16014753049412622
1,0.35618922132144565,0.6,0.5,8.051871227631628e-36
1,0.48665607872143846,0.2,0.7,0.953156187518209
1,0.5419175639910272,1.0,1.0,0.41852642250752564
1,0.5419175639910272,1.0,1.0,0.41852642250752564
1,0.54561183219612,1.0,1.0,0.4896436074082538
1,0.54561183219612,1.0,1.0,0.4896436074082538
1,0.36450283570731573,0.6,0.6,1.0
0,0.4142729173295793,0.4,0.4,0.8170219488863353
1,0.3802014416275439,0.2,0.3,0.9932203196040079
0,0.35692692661626507,0.2,0.4,0.8196965068034388
0,0.3028864349997891,0.2,0.1,0.007670620774084312
0,0.3464768047043753,0.2,0.4,0.13868632307282186
0,0.4510852831259133,0.0,0.0,0.2314603050369777
0,0.4953915861098353,0.2,0.2,0.5323517797273295
0,0.6158812854380957,0.8,0.8,0.9828603862219598
0,0.7217791728685402,0.8,0.6,0.996203259014306
1,0.5387149644291601,1.0,0.7,0.837337338110378
0,0.4945467729685475,0.4,0.4,0.806963136544833
0,0.3791230676976421,0.0,0.3,0.07147380857330186
1,0.5039618151997812,0.8,0.6,0.6849550950660607
0,0.3118780227793643,0.2,0.7,0.032460219002976416
