Severity,LR,KNN,RF,NB
0,0.4575594934277714,0.6,0.6,0.9993934638821986
0,0.3873159243354216,0.4,0.1,0.00031680072474513267
1,0.7133115136363674,0.6,1.0,0.8833811185592816
0,0.15645389545930513,0.4,0.7,4.521530551471952e-12
0,0.22369697374101674,0.2,0.1,1.0167481664586401e-05
0,0.34023243451637275,0.6,0.0,5.753015724989472e-10
1,0.4066603231197931,0.6,0.8,5.434450724385939e-06
0,0.3662927470246252,0.4,0.1,0.0011646162192090373
0,0.26996604429274423,0.0,0.3,0.0003431679851099119
1,0.6464430973583821,0.8,1.0,0.7958000132171984
0,0.31287999414909695,0.4,0.0,0.00021328561761092075
0,0.46459237020873156,0.4,0.2,0.0013718667348682685
0,0.39663139097243494,0.6,0.0,0.002052529010042185
0,0.07663200329571486,0.2,0.2,1.5795307902424273e-22
1,0.7333163142486417,0.6,0.8,0.9912912678967888
1,0.6336595857679435,0.4,0.5,0.10607845745354205
1,0.633688301443965,0.8,0.7,1.0
1,0.796578129557935,0.8,0.8,0.9999974893958677
0,0.16092891127146924,0.4,0.5,0.7036086750605995
1,0.47636490407809723,0.8,0.5,0.9465284761394301
0,0.3603517234850545,0.4,0.4,0.00027365637977551886
1,0.9143416496131728,0.4,0.8,1.0
1,0.2744773078253957,0.2,0.2,0.16373465757116779
1,0.4721957369822604,0.6,0.6,0.00100165055292283
1,0.6503759927940371,1.0,0.3,0.3282656220120213
1,0.7787505457710768,0.8,1.0,0.9489198890739587
1,0.5680654514893364,0.6,1.0,0.8387781650763712
1,0.6833247807259811,0.8,0.9,0.785797647212423
1,0.7304055526586268,1.0,1.0,0.014510039696620552
1,0.7673808370765132,0.6,0.7,1.0
0,0.131273004516278,0.4,0.5,3.3701082615043466e-06
1,0.6703578500175291,0.2,0.5,0.9999999996491056
0,0.411595395247028,0.2,0.2,0.00018980934630249212
0,0.08933530421005138,0.0,0.1,5.303133968275127e-18
0,0.24011434628078104,0.0,0.4,0.0002786175537794941
0,0.22444198900410392,0.4,0.0,1.3211445069302577e-05
0,0.25294991114770776,0.4,0.2,1.0743293287261898e-06
0,0.3854941728165067,0.4,0.5,0.9944155355391852
0,0.5817151744830236,0.6,0.7,0.975906753646686
1,0.7960540194480131,0.6,0.6,1.0
0,0.7296085997309598,1.0,0.4,0.9999999206199806
0,0.2816467857164847,0.4,0.1,4.483909763053019e-08
1,0.1320697517450659,0.6,0.7,0.005354320462476518
0,0.3491886052928715,0.2,0.1,1.9271270844678976e-12
0,0.5360183870439379,0.6,0.4,0.8435692073323517
1,0.6739462851731385,0.4,0.6,0.5675851636759999
0,0.46607410164228086,0.8,0.4,0.9999999694490289
0,0.6066182235545954,0.6,0.8,1.937772054340043e-09
0,0.27488715057699264,0.2,0.0,1.5138818696638997e-05
0,0.1947539707569175,0.2,0.4,1.737316677614459e-14
0,0.44312091008455606,0.0,0.3,0.9940706494672497
0,0.22770522162812262,0.2,0.3,8.720414447001101e-11
0,0.5358145966512987,0.0,0.4,0.0023672213778627837
0,0.4095840655524132,0.4,0.6,0.00012837538639911707
1,0.2905756751122186,0.2,0.3,2.458472641148373e-06
0,0.6214180605745603,0.4,0.6,7.369073779525835e-05
0,0.2305198386745816,0.0,0.1,1.573129057887058e-13
0,0.11902443882433714,0.2,0.1,3.7526392682763206e-12
0,0.5084594535667655,0.2,0.6,0.9999937263639946
0,0.3894806171980563,0.8,0.5,5.296855025593205e-05
0,0.35196837856754515,0.4,0.1,0.959138686258403
0,0.7247884245472938,1.0,1.0,0.992938837449293
0,0.46578884779724805,0.4,0.4,7.609399562188724e-09
0,0.27445763746309254,0.4,0.2,0.004222655924547152
0,0.7160274329276268,0.8,0.5,0.9999988169949282
0,0.5947281579342745,0.6,0.5,0.8403460632049481
0,0.4484469293276113,0.6,0.3,0.9978827227524657
0,0.07515271813746345,0.2,0.3,3.958619897076166e-20
0,0.24852015680701162,0.4,0.1,2.1698068454509575e-06
0,0.27104567165389654,0.0,0.3,0.06868207106348141
1,0.7392128907624266,0.8,1.0,0.860702687101395
1,0.7462824779599518,0.6,1.0,0.96271283768762
1,0.6375936933272658,0.6,1.0,0.7924643607578844
