Severity,LR,KNN,RF,NB
0,0.8570644523071297,0.8,0.1,0.999999999999865
0,0.3743921370731276,0.2,0.2,8.028093549145018e-09
1,0.5814575921914965,0.4,1.0,0.4118002716090885
0,0.10485433311629316,0.2,0.4,2.9882277280814843e-16
0,0.05554362389496278,0.2,0.1,1.6569231040269807e-06
0,0.4662808095787516,0.6,0.1,1.9168741251238816e-16
1,0.3739346446797114,0.6,0.8,7.191711247060538e-10
0,0.3016851728457615,0.4,0.1,2.4340004918071807e-07
0,0.37741490288919155,0.0,0.1,5.230952963727818e-09
1,0.5099690540618084,0.4,1.0,0.0005841576582041563
0,0.2070966255089688,0.2,0.0,3.274296891688827e-08
0,0.2885647829822316,0.6,0.1,6.651897908929298e-07
0,0.3484808428067761,0.4,0.0,6.366702079345272e-08
0,0.04017726487326578,0.2,0.0,3.0430383702889203e-33
1,0.8082390605404893,1.0,0.9,0.9999944586061306
1,0.5777422566236428,0.8,0.4,0.17035904274717514
1,0.6628139288409299,1.0,0.7,1.0
1,0.8950840164179465,0.8,0.7,1.0
0,0.1103493734144017,0.2,0.3,0.0034015276852664912
1,0.2632555449833793,0.4,0.2,0.00035354820635693514
0,0.38913121191269945,0.4,0.4,0.0006863530887905915
1,0.8444130079040036,0.6,0.6,1.0
1,0.18297836403105253,0.2,0.3,0.01688216681594275
1,0.4317174047388047,0.4,0.4,0.00011386716470921763
1,0.7383911443789746,0.8,0.3,0.21208390069029098
1,0.7544067900328988,0.8,0.9,0.8042570530735015
1,0.6539072620598758,0.6,1.0,0.8487122946683506
1,0.7562494278156567,0.8,1.0,0.9651063248010606
1,0.7326497221042235,1.0,1.0,0.03270355916402051
1,0.6797347347860706,0.4,0.8,1.0
0,0.2683337665106895,0.4,0.5,9.229607038645417e-08
1,0.49587797752309254,0.0,0.8,1.0
0,0.43968391025780174,0.0,0.6,0.5879723132312416
0,0.07329179322623441,0.0,0.5,2.928035624438809e-27
0,0.13216172001474943,0.2,0.2,4.923951508962865e-06
0,0.13909702272620192,0.4,0.0,1.8829766434608467e-11
0,0.29722094009041883,0.2,0.5,5.483919745812085e-07
