Severity,LR,KNN,RF,NB
0,0.9166529547922934,0.8,0.5,0.9999999997738431
0,0.40494915319740077,0.2,0.1,2.533247673602324e-05
1,0.46143812921586,0.6,0.9,0.08460412164364307
0,0.19357705126211644,0.2,0.2,6.608448667042337e-05
0,0.09726357052117114,0.4,0.2,0.14012637534164166
0,0.4621441819919834,0.4,0.0,3.3319454927877127e-07
1,0.3331423634916528,0.4,0.9,0.000132317338848959
0,0.40943207896159145,0.4,0.3,0.0002087090114852615
0,0.41263521380175944,0.2,0.0,1.5237663292965444e-05
1,0.417049411237246,0.4,0.9,0.0001499582906570412
0,0.21239576397893947,0.2,0.2,0.00015346071168255903
0,0.308391764965102,0.4,0.1,0.0004839800881943055
0,0.32167572930586413,0.2,0.0,3.095419325135306e-05
0,0.08204946638993406,0.2,0.2,1.9265457698506564e-11
1,0.8136034321392428,0.8,0.7,0.9993696323426116
1,0.44560028102463206,0.8,0.7,0.6337536752692373
1,0.6745242721322141,1.0,0.7,0.9999999999999947
1,0.9122491975078159,0.8,0.6,0.9999999999999298
0,0.2020839471811054,0.2,0.2,0.0014357014212708656
1,0.18825098201839102,0.4,0.1,1.9979398505225634e-05
0,0.5072238956317993,0.8,0.2,0.7150282229460346
1,0.6205864523030907,0.6,0.5,0.9999999999987352
1,0.23396778648825747,0.4,0.4,0.08063337368676016
1,0.44116314535441364,0.4,0.3,0.10199423443191956
1,0.6067926815520148,0.4,0.3,0.35517467226703314
1,0.6077614323255095,0.8,1.0,0.18111484082058227
1,0.7236431194179173,0.8,0.8,0.5188340600925715
1,0.7388050583755457,0.8,1.0,0.882896985761337
1,0.601764366520014,1.0,0.9,0.6966248865644599
1,0.2949463048378238,0.4,0.6,0.8966591766605215
0,0.6064041644215097,0.6,0.2,0.026656556336481046
1,0.24692237752338458,0.4,0.3,0.9999999977587066
0,0.45683876230165354,0.2,0.4,0.9998669815799129
0,0.12375763421341543,0.0,0.3,5.521330661857683e-10
0,0.19236552270235424,0.2,0.5,0.017361222801169196
0,0.1986286048957693,0.2,0.0,1.4252408204715038e-06
0,0.3668032565364042,0.2,0.4,0.3379457593033285
0,0.2663478164772857,0.4,0.5,0.0020279199716365394
0,0.7608880781353211,0.6,0.5,0.9942950337609976
1,0.9573386289466359,1.0,0.9,0.9999999999930367
