Severity,LR,KNN,RF,NB
0,0.08385933382331417,0.2,0.2,0.036868591591764435
0,0.45169854081116195,0.4,0.0,0.9752845074974916
1,0.42194957697044627,0.8,1.0,0.9639922603821525
0,0.3193267926535567,0.0,0.2,0.020593185686559348
0,0.43706874253606515,0.4,0.1,0.9226080877864684
0,0.21686663952876375,0.4,0.1,0.3434666272192406
1,0.4872470297366217,0.8,0.9,0.9123302494758843
0,0.4446019379552803,0.4,0.0,0.9607351625940592
0,0.39491424244617235,0.4,0.0,0.9356571084134154
1,0.6508923920639946,1.0,1.0,0.9909030979207082
0,0.43754982207670673,0.4,0.4,0.9147466411885692
0,0.42952331582202763,0.6,0.0,0.9707338537847517
0,0.43216262222445784,0.4,0.0,0.9627995326843125
0,0.29795210010752315,0.2,0.1,4.48559781691404e-05
1,0.7806837675495758,0.8,0.4,0.4630721353133528
1,0.3218723452194568,0.8,0.4,0.36791845098617126
1,0.6438981016933041,0.6,0.7,0.01042015607691504
1,0.4698594748238266,0.4,0.5,0.025753084738059446
0,0.23411830477816206,0.0,0.4,0.10024803779547226
1,0.5067547716661296,0.4,0.4,0.0677865039682669
0,0.6245820709094596,0.4,0.4,0.0005142936919828242
1,0.4104483521992269,0.4,0.3,3.714225662379513e-07
1,0.6087007351816649,0.2,0.3,0.005270082534003273
1,0.6078702536729547,0.4,0.5,0.15035262675473168
1,0.46308185484399617,0.6,0.4,0.0010484050123910015
1,0.6692131819815756,1.0,1.0,0.9999858325328439
1,0.6236751552167206,0.8,1.0,0.996459056537742
1,0.6408645163475518,1.0,1.0,0.9901274756337386
1,0.4848475791766659,0.6,0.9,0.918394990970157
1,0.608867419515365,1.0,1.0,0.745308236296439
0,0.3785796246591973,0.4,0.5,0.6918258710407479
1,0.3988752985241225,0.6,0.3,0.915434822642864
0,0.1823961435642286,0.0,0.3,0.053547961096425345
0,0.524310443864257,0.0,0.4,0.02638047027509174
0,0.4464869731173086,0.6,0.5,0.05260131722233032
0,0.351125400459213,0.4,0.0,0.664131931537691
0,0.3994174668995685,0.2,0.0,0.052423711198681146
0,0.6095800818235939,0.6,0.3,0.2865011625357582
0,0.49656757162992393,0.4,0.4,0.8987677451891476
1,0.40815226562524803,0.4,0.4,0.8141758942594193
0,0.4566071858257101,0.6,0.6,0.003510646427867071
0,0.20198412741684438,0.2,0.2,0.011817886891496023
1,0.5527138759700099,0.0,0.6,0.7116902194406894
0,0.31068779122642015,0.2,0.5,0.1063464272963813
0,0.7910098451957774,1.0,0.8,0.9586229649588729
1,0.6546135055063922,1.0,1.0,0.9651781752439228
0,0.320426103009128,0.2,0.4,0.08632365890946868
0,0.5269711800112191,0.2,0.1,0.0006049105481665902
0,0.4557345087282494,0.4,0.3,0.7886085609161845
0,0.2577287922671872,0.2,0.2,0.0032256994814410063
0,0.41332490946914696,0.2,0.4,0.4938380408028733
0,0.49504401565949424,0.4,0.4,0.10414245650459648
0,0.22275526429757128,0.8,0.2,0.1827524680309423
0,0.37665184645531946,0.4,0.2,0.018398566201201474
1,0.43321505911020813,0.0,0.3,0.0018333674347977436
0,0.4192296796487309,0.6,0.3,0.036494053712949844
0,0.24665943125760836,0.2,0.1,0.0034799483892545583
0,0.43494198769600095,0.2,0.0,0.005530183328127459
0,0.20192977652442057,0.2,0.2,0.009834775163940806
0,0.39466267381740117,0.4,0.4,0.1988360983095397
0,0.2662067693379812,0.2,0.6,0.8113120104888308
0,0.7587153295421056,0.8,0.5,0.829349890695716
0,0.5559588051880203,0.2,0.8,0.16815972575769808
0,0.37744837902131384,0.4,0.7,0.8684675525344118
0,0.8067214270215254,0.2,0.4,0.3865970044141582
0,0.42582308673386726,0.6,0.6,0.8130065722934886
0,0.8523959115245259,1.0,0.9,0.9488722954686064
0,0.22729333042077582,0.0,0.2,5.161183717348221e-06
