Severity,LR,KNN,RF,NB
0,0.4800783537783554,0.4,0.2,0.9449581444959085
0,0.4285126566553659,0.2,0.2,0.07140024182808745
1,0.40061055057539224,0.4,0.9,0.031535555140378334
0,0.46260539388867783,0.0,0.2,0.18458495914820713
0,0.4716170852846267,0.2,0.3,0.08349513823850835
0,0.3594643913470335,0.4,0.3,0.008583623914603553
1,0.6289495425771611,0.6,0.8,0.0711880782451142
0,0.5437172072527826,0.6,0.3,0.9637916776655864
0,0.5175948905831586,0.4,0.4,0.9841288461560215
1,0.7366171763354893,0.2,1.0,0.8969782789109566
0,0.45119285199594666,0.2,0.4,0.9975338884989459
0,0.6073608367654357,0.4,0.1,0.9543044930600192
0,0.3984439807971898,0.4,0.1,0.03821460339371464
0,0.1970630316651747,0.0,0.0,3.3447142273818526e-06
1,0.551363351591418,0.4,0.6,0.6079680596678543
1,0.4665296986367711,0.6,0.5,0.33528057008073797
1,0.5103689338310518,0.4,0.5,0.7458997226621137
1,0.45257059711907305,0.4,0.7,1.6873410402626223e-05
0,0.25091136491172017,0.4,0.4,0.05002123599096658
1,0.5163584078842852,0.6,0.9,0.010774255583284292
0,0.5139215160832442,0.2,0.2,0.45457521567573494
1,0.7528974674770491,0.6,0.8,0.9999920891842057
1,0.3658741677166261,0.6,0.2,0.0005326766531002381
1,0.41351316762937174,0.4,0.8,1.0227012279347574e-36
1,0.4241698211996607,0.6,0.1,0.03469263827059143
1,0.6011985657691857,0.4,0.9,0.6680036014757779
1,0.48306858031454064,0.2,0.9,0.054124705251779835
1,0.7347388591036274,0.8,0.7,0.9997381407037464
1,0.4776493636240478,0.6,0.8,0.7146954849097993
1,0.3781467282390845,0.8,0.5,1.0
0,0.29927951166248185,0.4,0.1,0.2502787263676143
1,0.49714429724792075,0.2,0.4,0.998379853404416
0,0.5970045794889255,0.2,0.4,0.9406721021045938
0,0.17704841527914517,0.0,0.3,0.00023706234937964808
0,0.47450893048556214,0.6,0.4,0.9786508178622513
0,0.445749868174408,0.2,0.2,0.388888925856312
0,0.5509020614181982,0.6,0.4,0.9844569509094966
0,0.5224031194280946,0.2,0.5,0.7488183564836502
0,0.7155553100496687,0.6,0.6,1.0
1,0.571659494029042,0.6,0.8,0.952815540779749
0,0.6264551419118152,0.6,0.6,0.9954270154593698
0,0.56092753743619,0.6,0.3,0.9781875373112816
1,0.45364976893463493,0.6,0.6,0.9998839857052191
0,0.3028309650319009,0.4,0.3,0.011820464757031857
0,0.41053948951839475,0.8,0.7,0.4647302390634105
1,0.5217243505118203,0.2,0.9,0.001012233772784133
0,0.580964988381358,0.4,0.4,0.9666451366558851
0,0.3492873859402156,0.2,0.4,1.428722846492144e-07
0,0.529186504712918,0.2,0.1,0.26100030464672175
0,0.3352635423580527,0.2,0.4,0.0006391426242077292
0,0.45213695021358213,0.2,0.3,0.901790186761781
0,0.4744513164440725,0.6,0.3,0.04853952406320022
0,0.6911700353842902,0.0,0.6,0.24028994836722886
0,0.3943207396111929,0.2,0.4,0.088342044053416
1,0.4560024299820836,0.0,0.5,0.02086056132236938
0,0.4044422725187142,0.2,0.4,0.8507554290956837
0,0.23732867019619008,0.0,0.3,0.01330406753077009
0,0.17412951028460175,0.4,0.3,7.257520788144745e-05
0,0.5211085269952241,0.0,0.5,0.9999998583970326
0,0.469903258240939,0.4,0.5,1.7605328350922673e-05
0,0.39407410702840273,0.4,0.7,0.8464601436938042
0,0.6526856919430323,0.4,0.5,0.9998542260007873
0,0.8190853078260155,0.8,0.7,0.999995303330004
0,0.3814560123647419,0.2,0.7,0.10253753355058834
0,0.9071328358631884,0.6,0.9,0.9985133315456897
0,0.7877141196037124,0.2,0.3,0.9920554951498969
0,0.4178658109217765,0.0,0.8,0.29820381626958753
0,0.18417295658518737,0.2,0.1,0.0035566010921053706
0,0.2874971991004922,0.6,0.2,0.0045394882015546405
0,0.4017143541461691,0.2,0.0,0.046413798435796634
1,0.6556386989050186,0.6,0.9,0.17084576626738704
1,0.4909497834981477,0.4,0.6,0.002880208996712742
1,0.7522773935775765,0.8,0.7,0.9990049874390898
0,0.4413227710576185,0.8,0.0,0.08136138471818351
1,0.27561484995245955,0.4,0.3,0.004167895976578984
0,0.48944733526763795,0.2,0.2,0.013269170437157002
0,0.7906238710280838,0.4,0.3,0.994363796636486
0,0.392354519693968,0.4,0.3,0.5763570475110349
0,0.38940671421389234,0.2,0.2,0.7892856418666218
0,0.11020756403890421,0.2,0.3,0.0004894312376053222
0,0.7491208080652921,0.4,0.4,0.17607180924353974
0,0.1695111151174563,0.2,0.3,8.925906423780577e-05
0,0.2919913469215099,0.2,0.3,0.007422811878042989
1,0.6033603101583154,0.2,0.7,0.5870152601325063
0,0.31068454218585045,0.0,0.4,0.03286880524122895
1,0.2774731157152399,0.0,0.7,0.8816006412997028
0,0.809497340561817,1.0,0.7,1.0
0,0.7272488485489342,0.8,0.4,0.9985142250537293
1,0.6211939445881843,0.6,0.7,0.9326950107749629
1,0.27010571497805613,0.0,0.3,0.0020148521372557074
0,0.6896992975733842,0.4,0.6,0.9060060139578404
0,0.6166816665598311,0.4,0.0,0.15274936360449343
1,0.27892951021008894,0.2,0.6,2.2643788518593405e-13
1,0.49049389434842533,0.2,0.8,0.11712798732270818
1,0.5829386041992605,0.2,0.9,0.0740949515789858
1,0.6469076534416245,0.6,0.7,0.9465302119450864
1,0.5829109116625418,0.4,0.8,0.10006599493355711
1,0.6109631246886669,0.6,0.8,0.08179120418571542
1,0.7256686803643406,0.8,1.0,0.9934004019512047
1,0.39987248391895097,0.2,0.7,0.0007309009774266251
1,0.3401559159831443,0.6,0.7,0.10158224960546483
1,0.5489068093713264,0.2,0.7,0.0023483066834959795
1,0.331554520211974,0.2,0.3,0.4103034140578331
1,0.7317267913706258,0.4,0.8,0.9998733395829155
1,0.3583708620265788,0.2,0.1,0.004394154444978793
1,0.4160913300810109,0.2,0.5,0.43328866116835346
1,0.433348555830988,0.0,0.8,0.7652320925095453
1,0.30111318731345943,0.4,0.4,0.09323321172141927
1,0.7435912127852122,0.2,0.4,0.9693629933604206
1,0.6410369348387798,0.6,0.6,0.6157111800130469
1,0.5098051054542209,0.4,0.3,0.9999558564288951
1,0.20745167713291499,0.4,0.4,0.0002951649088755
1,0.3765565227961773,0.0,0.3,0.2841799392737569
1,0.4584624356538769,0.6,0.4,0.7257308658611493
1,0.4633896461606146,0.4,0.7,0.005191399517105609
1,0.4907641120856771,0.2,0.6,0.6249478093347035
1,0.7086676342912914,0.6,0.4,0.9857209052324838
1,0.6861306575200378,0.8,0.8,0.9942642852708643
1,0.5801135492396929,0.6,0.5,0.8976317464835637
1,0.4607792558311999,0.4,0.9,0.7419693869202404
0,0.5499983533151636,0.4,0.5,0.1286721378477019
1,0.6034980471301453,0.6,0.4,0.8464303359016525
1,0.8735058942795225,1.0,0.7,0.9999996962608896
0,0.5078089706755671,0.8,0.3,0.08714300473788185
0,0.5271765462119139,0.6,0.4,0.36980748366519195
1,0.44661431011877656,0.0,0.3,0.9999995285686928
1,0.7169816809037994,0.4,0.7,0.9822142819991394
1,0.5961490468438686,0.4,0.7,0.8097279723160723
1,0.47841271738660335,0.8,0.6,0.9988868691342494
1,0.21398144245347253,0.2,0.3,0.9999999206325678
1,0.3394526599826605,0.0,0.7,0.5378533068348259
0,0.6314201360980375,0.4,0.6,0.7119704040259841
1,0.42231240438145873,0.2,0.6,0.36256857829689365
0,0.6489322382219948,0.4,0.6,0.06981970152057558
0,0.3364447168450672,0.4,0.4,0.3676724967566266
0,0.22796960089868312,0.2,0.1,0.1888571799906531
0,0.37111805010088034,0.2,0.2,0.03134370057037334
1,0.44457507446912387,0.4,0.3,0.4049310238599163
1,0.5641673568978759,0.6,0.7,0.952398703291814
1,0.8295942281848018,0.6,0.6,0.9999996748446889
