Severity,LR,KNN,RF,NB
0,0.6763413186696533,1.0,0.5,0.9978760624151715
0,0.4271764210550239,0.4,0.1,0.000854415090115451
1,0.36252384885297895,0.4,0.9,0.3554519980568338
0,0.09602411179866643,0.2,0.4,0.9999999999866045
0,0.07923760145931887,0.4,0.1,6.573424365790346e-05
0,0.31695466529354066,0.2,0.0,7.280107846329527e-09
1,0.6243407727197006,0.6,1.0,0.9446170755840454
0,0.2318210661163816,0.4,0.1,2.0017561443787825e-05
0,0.1239045341599939,0.2,0.0,3.291742342133576e-09
1,0.4685761334293025,0.8,1.0,0.9556635872062519
0,0.20966841535631478,0.4,0.0,5.370164130720583e-05
0,0.3342035626051148,0.4,0.0,0.049967701316933205
0,0.30212795109545815,0.4,0.0,0.007309871350043751
0,0.08251630121672306,0.0,0.0,1.245861820022797e-09
1,0.6907522147699009,0.8,0.7,0.013514758024608952
1,0.7783356098777621,0.8,0.5,0.9995559436984018
1,0.7576731254111595,0.8,0.8,0.9999982815698786
1,0.5604191459947666,0.8,0.8,0.9403261733203565
0,0.1342741644074734,0.4,0.3,7.528275869734159e-07
1,0.3231247273799507,0.8,0.3,0.2223476557545112
0,0.5063214766639244,0.4,0.5,2.8331847847603868e-14
1,0.9100210932331584,0.6,0.7,0.9999999999999858
1,0.5060690165998151,0.8,0.4,0.9884696810225834
1,0.7441783217270788,0.8,0.4,0.020013834932441094
1,0.5080778456583325,0.8,0.4,1.0
1,0.8927713535561785,0.8,1.0,0.9999990385054222
1,0.6012068824376237,0.8,1.0,0.7940494159068562
1,0.8292577823358871,1.0,0.9,0.9993570501221996
1,0.8178144075686775,1.0,0.9,0.9999933440915599
1,0.8040421049630847,0.6,0.8,1.0
0,0.18253108851790648,0.2,0.1,1.1717582606764682e-06
1,0.6107103078064741,0.6,0.4,1.0
0,0.7295206832087369,0.4,0.6,0.033749509942566015
0,0.0574875411411895,0.0,0.0,2.163244948132913e-14
0,0.10879847243322592,0.2,0.4,1.907929253737095e-09
0,0.2539202807096755,0.2,0.1,2.2101177858813615e-05
0,0.30197017321893327,0.2,0.4,4.365497635465848e-06
0,0.3140167681910268,0.4,0.3,5.16119699637775e-07
0,0.8839958683474547,0.8,0.7,0.9999999961695281
1,0.9633081796251339,1.0,0.8,0.9999999999992895
0,0.5531691355068602,0.4,0.6,0.9997716932404055
0,0.3066637802244474,0.6,0.4,3.615733747294135e-06
1,0.4852288237688704,0.4,0.6,0.026823319498334924
0,0.21135905516436643,0.2,0.1,7.577943241891611e-13
0,0.5322763534421606,0.8,0.8,0.044316033365812156
1,0.8759371811445695,1.0,1.0,0.9999997973403573
0,0.2546815029534126,0.2,0.6,0.0006558125729503648
0,0.09284462871577662,0.2,0.4,3.345959091063123e-14
0,0.261205187086347,0.4,0.3,0.0001258082288987959
0,0.22103976749526105,0.0,0.0,5.6487180304832713e-11
0,0.6308639875516922,0.0,0.4,0.0009541868941236398
0,0.45003826729891255,0.2,0.3,7.048924341248054e-09
0,0.5796231872913385,0.4,0.5,0.00813026336577317
0,0.12351921778709282,0.2,0.2,4.2203865195617584e-09
1,0.5809005458653376,0.4,0.7,0.005858801764748675
0,0.6166375535085316,0.4,0.8,0.0005671107882450445
0,0.04395836761017702,0.0,0.1,2.9957987916630167e-11
0,0.18654523205173779,0.2,0.2,6.609434947894785e-11
0,0.32727500170109,0.0,0.5,0.004856790782290833
0,0.4410422053727764,0.6,0.4,0.1638472538373953
0,0.34071182906857145,0.4,0.6,0.0017054249583841853
0,0.37966495741938655,0.6,0.6,0.9999999999151683
0,0.512942738773693,0.2,0.1,0.013659384236623913
0,0.5469918737494671,0.2,0.4,0.4710990480127993
0,0.17873132875299372,0.2,0.6,0.004071406747641334
0,0.6622660835428223,1.0,0.4,0.9960227725886629
0,0.7313827952782852,0.4,0.6,0.9872205754622793
0,0.18438059103345775,0.0,0.4,1.491476212814769e-07
0,0.267461448688131,0.6,0.1,8.348315065224628e-08
0,0.1402212129410121,0.0,0.0,3.4186836732381414e-08
1,0.45518688732975127,0.6,0.8,0.3274069392190506
1,0.7598400589484106,0.6,0.9,0.0024035480494756884
1,0.8738647927606954,0.8,1.0,0.9999746901195741
0,0.5344816667425311,0.6,0.2,0.00017533817447721613
1,0.83749614505243,1.0,0.5,0.9998455174896976
0,0.5769985936298637,0.6,0.1,4.494918186594841e-05
0,0.33635762534516994,1.0,0.0,0.0022441043650689688
0,0.48478173527867385,0.6,0.6,0.7594294788341228
0,0.46616429836786466,0.0,0.5,0.07208331672465441
0,0.47777893334714705,0.0,0.7,5.142189020487906e-07
0,0.5289286129816896,0.6,0.6,0.0019663141605611133
0,0.10829508024048605,0.0,0.1,7.052255069283113e-14
0,0.5760470073603182,0.4,0.7,0.5167403703551794
1,0.7481790174917897,0.8,0.5,0.05358391029987137
0,0.32696188249021324,0.0,0.3,7.209641233025916e-07
1,0.3291430389141963,0.2,0.5,0.03230231653023301
0,0.987696152497492,1.0,0.7,0.999999891411227
0,0.3722217870604821,0.4,0.3,0.9635893063436659
1,0.7962238114032175,0.8,0.6,0.9999995103922137
1,0.2571461022007704,0.2,0.3,6.528870135290751e-09
0,0.7332957033354097,0.8,0.4,0.7999169938508762
0,0.19362162774247071,0.0,0.2,6.2919172601599615e-06
1,0.5815510354704325,0.2,0.9,0.24004090797904862
1,0.5693462664937532,0.2,0.9,0.6218705859337462
1,0.7198402781106551,0.6,0.8,0.9991011514597828
1,0.5133497527453569,0.0,0.8,0.0007707733721122059
1,0.690007083963905,0.6,0.8,0.10929263645599346
