Severity,LR,KNN,RF,NB
0,0.8179108488948988,1.0,0.7,0.9999911455918989
0,0.44398461256982763,0.2,0.2,5.46346665338036e-06
1,0.5930523619738134,0.4,0.8,0.04319818673378303
0,0.10013391597849831,0.2,0.6,3.616856532710858e-07
0,0.12768209947292897,0.4,0.3,2.6081605985860755e-10
0,0.16202474864212138,0.2,0.2,1.6379498141661736e-12
1,0.3159409508807681,0.6,0.9,7.687383298760039e-07
0,0.2785588645375692,0.4,0.0,2.2304433753545087e-05
0,0.1823582454834842,0.0,0.0,2.359579690743378e-07
1,0.35895021030636115,0.2,0.7,0.001725899302317721
0,0.2283717631957856,0.2,0.1,1.834250931880596e-05
0,0.4558224764270613,0.2,0.2,0.5573429057410053
0,0.34354026572365604,0.4,0.1,2.074564148986586e-05
0,0.07585171004464861,0.2,0.1,5.195167733673997e-22
1,0.761087791771186,1.0,0.6,0.9946282950986808
1,0.6074111142555496,1.0,0.4,0.9989975713685297
1,0.8852600674813359,1.0,0.5,0.9999229173745167
1,0.8076373226875045,0.8,0.7,0.9999999502014573
0,0.2962138516929485,0.0,0.4,1.5681020078245558e-07
1,0.4874081516160973,0.4,0.4,0.0014794232806105317
0,0.30695821465438555,0.0,0.5,0.008162951577996277
1,0.9615797723198137,0.8,0.8,1.0
1,0.5506305673746549,0.6,0.6,0.3314178861870412
1,0.6069339594629755,0.6,0.5,0.34884439164542447
1,0.29333020511320607,0.6,0.1,1.9830560693222196e-33
1,0.8374556334947932,1.0,0.9,0.9544056222340107
1,0.5893436226519562,1.0,0.8,0.49157874690439485
1,0.7511758524026885,1.0,0.9,0.9927598045552007
1,0.8652186194424126,1.0,1.0,0.9985639934988861
1,0.8528672888791777,0.6,0.4,1.0
0,0.24053198309738466,0.2,0.4,0.15727855905153154
1,0.7761710728144205,0.6,0.6,0.999900694878614
0,0.3051323272220524,0.2,0.3,0.9634476354425354
0,0.10574997357185179,0.2,0.2,2.0509684422253077e-17
0,0.2053328802149463,0.0,0.7,0.0011076296565390885
0,0.28495246769064764,0.4,0.1,1.0652795363300055e-05
0,0.5223395230478088,0.6,0.4,0.00012558379567261167
0,0.07226639666010011,0.0,0.3,2.0183406297273334e-07
0,0.423409120856754,0.2,0.7,0.8723587749312604
1,0.8551557096465945,1.0,0.7,0.9999999999960103
0,0.7173612646076392,0.6,0.4,0.9999999967369924
0,0.4459994942025634,0.4,0.5,0.0010875386831218459
1,0.151501547947743,0.4,0.2,0.00019876935855907418
0,0.18522724640821744,0.2,0.3,3.369775400335007e-13
0,0.6740000173649845,1.0,0.7,0.9999999993440554
1,0.7441318819576024,0.8,0.8,0.9999995052665953
0,0.5750043622697396,0.2,0.6,0.01632624741133793
0,0.05935509718135962,0.2,0.5,4.8596787881989885e-12
0,0.5597428882462395,0.8,0.2,0.002072385169734677
0,0.30275135342140763,0.2,0.1,2.307187372284892e-12
0,0.47610839996629684,0.2,0.4,0.8412896250150534
0,0.5363212868065965,0.2,0.3,7.126872818884366e-09
0,0.4510187171030522,0.6,0.5,0.19000861968757304
0,0.2690578451013682,0.4,0.6,1.2881554837113768e-06
1,0.44542338860534647,0.4,0.6,0.1354290582720112
0,0.31693896772475905,0.2,0.8,0.18106509163421036
0,0.09041452195194498,0.0,0.2,2.496925755475404e-14
0,0.33022378337759456,0.2,0.0,7.97441357193725e-10
0,0.2127146128969413,0.2,0.2,0.999994995287189
0,0.28853118188212223,0.4,0.4,0.00576368493992834
0,0.2009515878012492,0.2,0.4,2.960517900490332e-06
0,0.45216886002491896,0.8,0.7,0.9999999999994209
0,0.504959690149622,0.2,0.0,2.996636930692504e-07
0,0.24661434328891974,0.4,0.3,0.968732720906123
0,0.5497825073110608,0.6,0.5,0.25402007504275187
0,0.5498047423872475,0.6,0.3,0.502921788642514
0,0.710611332457494,0.8,0.7,0.9998199441314612
0,0.14732852188122242,0.0,0.2,4.483954389033702e-10
0,0.2287220377054786,0.4,0.0,7.176028961275968e-11
0,0.15966036097585984,0.2,0.0,1.9947999695172006e-06
1,0.7068143001490331,0.8,1.0,0.0005091356167671335
1,0.6245687096154303,0.4,0.9,0.011322999409459569
1,0.8792503418390532,1.0,1.0,0.9973501468888337
0,0.25046755720764724,0.2,0.1,6.183662892408938e-10
1,0.8173880443421436,1.0,0.9,0.9999997283413724
0,0.30210002561329746,0.0,0.1,9.73001155726305e-06
0,0.49094801958305134,0.8,0.4,2.8791308902117257e-05
0,0.6072749587712776,0.6,0.6,0.9132908256084415
0,0.5101352270951233,0.2,0.4,0.9532394197083692
0,0.48961545628911146,0.4,0.4,1.0
0,0.7039487806092537,1.0,0.4,0.9256922304993335
0,0.10667695757376365,0.0,0.2,2.783134693497928e-17
0,0.4453580019582601,0.2,0.5,0.1313641668690415
1,0.6043540509535443,1.0,0.5,0.009451276626734088
0,0.3450051978736934,0.2,0.7,0.00047000665965232026
1,0.5234056466207367,0.6,0.7,0.9999953884311319
0,0.9424886274890389,1.0,0.7,0.9999999927524987
0,0.89453733524759,0.8,0.8,0.9998745188838676
1,0.8466843165169613,0.8,0.7,0.9999696910781296
1,0.4360321173990344,0.0,0.2,3.167989218498815e-10
0,0.5749472950126319,0.6,0.7,0.9964075445103959
0,0.14557981784141222,0.2,0.2,8.47232611755273e-06
1,0.5870065996586764,0.2,1.0,0.0007197009721164746
1,0.5624098243797405,0.6,1.0,0.004585422789084925
1,0.7039256622104274,0.8,0.9,0.18378940935684115
1,0.2430367448354675,0.0,0.8,0.0010515694662947355
1,0.6035892419151662,0.8,1.0,0.11864226924515187
1,0.37768275794054623,0.6,0.9,8.459242402809297e-05
1,0.5340979385559407,0.8,1.0,0.0068073910630605475
1,0.7370871510146019,0.8,0.9,0.02782893589105245
1,0.8219791496851008,0.8,1.0,0.9815521781207733
1,0.7389814908011121,0.8,0.9,0.0002965755589155747
1,0.1246159750274943,0.0,0.3,4.8716843723853545e-09
