Severity,LR,KNN,RF,NB
0,0.2899065285044262,0.6,0.0,0.982561880874908
0,0.2673767765037599,0.0,0.1,0.6172195539091505
1,0.7419158403546577,0.6,0.9,0.9999999999999822
0,0.24838907222784268,0.2,0.1,0.0002420262265410194
0,0.2984833265799624,0.4,0.1,0.4106682662637453
0,0.14519014931236338,0.2,0.2,0.002008798479440287
1,0.41813513759908616,0.6,0.8,0.13685213782763445
0,0.440282138452538,0.0,0.1,0.9989368307258231
0,0.3195641420289048,0.2,0.2,0.9625625451947948
1,0.4555288241576446,0.6,0.8,0.9888408347660262
0,0.24658731438399933,0.0,0.1,0.9983024891776561
0,0.5274431076406778,0.4,0.1,0.9980699860640839
0,0.4353116926241727,0.4,0.0,0.8760848961394495
0,0.14619068364590074,0.0,0.2,6.41871991466202e-14
1,0.9037610324109175,0.6,1.0,0.9270762787680737
1,0.21991934015593825,0.4,0.5,0.6403724040644501
1,0.6108847499593019,0.6,0.7,0.24591254038302415
1,0.22873835373107734,0.2,0.3,3.1716670181150926e-07
0,0.09510587493011807,0.0,0.3,3.686858877262653e-05
1,0.49176509119809336,0.4,0.5,1.8187693567276956e-06
0,0.6107809327864975,0.2,0.6,2.244207071496453e-06
1,0.9670306754829856,0.6,0.6,0.9999999999064642
1,0.6510129158775817,0.2,0.7,6.2757734640543115e-09
1,0.3036988151022173,0.6,0.4,8.012634177089195e-41
1,0.35946829017449505,0.6,0.9,8.889889755443568e-08
1,0.9039474099757614,0.8,1.0,0.999999971692596
1,0.3976577513720116,0.8,0.8,0.9242015059256007
1,0.887474958101294,0.8,0.9,0.9999999801970179
1,0.5441185757848649,0.8,0.9,0.9830107314945891
1,0.8110132492050898,1.0,0.6,1.0
0,0.13296561773167925,0.2,0.4,0.001081228672244575
1,0.5476446925452854,0.0,0.6,0.9999999467168067
0,0.2270162979597873,0.2,0.4,0.004040673142886453
0,0.20003632074342798,0.2,0.3,5.505671837702554e-07
0,0.17343146888588706,0.2,0.4,0.08755853650491434
0,0.12602399744018195,0.0,0.0,0.021348589858546083
0,0.18642313312555786,0.2,0.2,0.0024453822994005866
0,0.3456114966078738,0.4,0.3,0.00011559064761408882
0,0.9436847497602024,0.8,0.4,1.0
1,0.8118898132652859,0.6,0.8,0.9999876180265769
0,0.34471476670185675,0.6,0.7,0.018560304137907328
0,0.29644167287664674,0.2,0.3,0.01960563526881356
1,0.5776556504157392,0.6,0.7,0.9999990397935532
0,0.4494700356327531,0.4,0.4,0.00020598271488734028
0,0.4004321452116437,0.8,0.2,0.20151041011303275
1,0.8685263455930736,0.2,0.8,0.7022028036569781
0,0.2157963531873358,0.2,0.2,0.010089199203291394
0,0.14597563048290835,0.0,0.4,1.8471054080776326e-14
0,0.23158948156338316,0.4,0.2,0.18107106518181637
0,0.17313589592524736,0.4,0.1,6.518385143756852e-09
0,0.38329537179834716,0.2,0.1,0.9533194342908705
0,0.7486973619450331,0.4,0.6,0.006035062093526812
0,0.6703333477128356,0.2,0.2,0.9820775703218905
0,0.11665143864805698,0.0,0.0,9.832532339099235e-07
1,0.7656396308994884,0.0,0.4,0.9999999980603622
0,0.3460922292017703,0.2,0.0,0.03139595721333649
0,0.05693605235690796,0.2,0.0,2.751872629698185e-07
0,0.21276123373073133,0.4,0.3,9.508355875005772e-08
0,0.12131433693745466,0.2,0.3,0.9983810316744272
0,0.4880064821813977,0.6,0.6,0.00023146942906004272
0,0.12241643927414449,0.0,0.1,0.012549607401105866
0,0.959807294753976,1.0,0.7,0.9999999999920437
0,0.8023664892976217,0.8,0.5,0.9998997555211108
0,0.23673349785650016,0.2,0.5,0.5592912758429568
0,0.881760790309616,0.4,0.4,0.8744766092097553
0,0.4023716033725319,0.2,0.3,0.966159389339117
0,0.8771674372995819,0.8,0.5,0.9948907797146818
0,0.19732167740619802,0.2,0.4,2.2274060487379491e-10
0,0.23016715563741155,0.8,0.3,0.015139268085047921
0,0.19073612073528398,0.2,0.0,0.027595854700788465
1,0.8289863694493727,0.6,1.0,0.9858049396352169
1,0.7588589413755403,0.8,0.9,0.941393045848516
1,0.864978186899992,1.0,0.9,0.9999985993798223
0,0.10292631050010206,0.8,0.3,0.0041648565294503835
1,0.4976649564473647,0.6,0.7,0.0031793203544633066
0,0.19060140248157081,0.2,0.0,0.0015143917453241064
0,0.5470216302449378,0.4,0.0,0.9845206096264572
0,0.6164750593483547,0.4,0.5,0.9989583477994334
0,0.19776873017828572,0.0,0.2,0.07172941094300303
0,0.07985253519594492,0.2,0.3,2.8275800097205055e-05
0,0.6060522065578053,0.4,0.2,0.4412108700095304
0,0.15524493670287307,0.2,0.3,2.0632348704879316e-12
0,0.24156805494448366,0.2,0.3,0.0006271753062652319
1,0.8214634568020333,0.2,0.8,0.5491037005201596
0,0.7019665833847392,0.2,0.2,0.1759078560107709
1,0.34323201834065786,0.2,0.8,0.6158968069907712
0,0.8705752198246413,0.8,0.3,1.0
0,0.5445688399106992,0.6,0.6,0.9999369674546581
1,0.6571863342587293,0.4,1.0,0.915960084949008
1,0.2636499254601527,0.0,0.7,0.03740597421629639
0,0.4580292265797143,0.6,0.5,0.36413625541812916
0,0.6598332663274347,0.4,0.5,0.766205189835806
1,0.4574427836654431,0.2,1.0,4.2250733969853255e-12
1,0.4943961127051464,0.2,0.9,0.43286525898467215
1,0.8355099211491681,0.4,1.0,0.7877467841544523
1,0.7595773592046365,0.2,0.9,0.9962913051046909
1,0.6801965350773301,0.4,1.0,0.972388781037516
1,0.6888156317081815,0.4,1.0,0.44770332283125086
1,0.8293825227229573,0.8,0.9,0.9999630990111703
1,0.38186637688025826,0.4,0.8,0.0016617533813554004
1,0.7611720126508782,0.8,0.9,0.9999681851447498
1,0.8196372819686362,0.6,0.7,0.02625481314605124
1,0.27892244404033667,0.0,0.4,0.011048234123818832
1,0.9530973415391991,0.6,0.9,0.9999999302182458
1,0.22261984055818987,0.2,0.7,4.6556819812779555e-06
1,0.7328873946064813,0.6,0.6,0.9934740931837263
1,0.5527744968920891,0.4,0.7,0.9632802001980285
1,0.36021679425097203,0.2,0.4,0.05624963406561511
1,0.6527865498349519,0.2,0.5,0.999330289764628
1,0.9241521932580983,0.8,0.5,0.9998416271175052
1,0.7072129743355591,0.6,0.9,0.999987693677304
1,0.20238251320473752,0.4,0.4,1.4622517026375972e-05
1,0.6658186303548569,0.2,0.3,0.8875963146720786
1,0.8293113178624243,0.6,0.8,0.9998982833318691
1,0.4640788349421385,0.4,0.5,0.0001437497870399506
1,0.5658988164284913,0.2,0.3,0.0037688683702671137
1,0.899035561215534,1.0,0.7,0.9999999941993494
1,0.7691899683287247,0.8,1.0,0.999997516436942
1,0.5964685421568622,0.4,0.4,0.9976480019145
1,0.7219894100878795,0.0,0.9,0.9701021104483173
0,0.38913419850212005,0.6,0.7,0.0004898073217418623
1,0.6600836892809521,0.4,0.6,0.9955767897843905
1,0.8295740205472449,0.8,0.7,0.9999997854513526
0,0.6538226821553906,0.8,0.5,0.04053596643269633
0,0.30254549873534725,0.6,0.3,0.0007127069640174433
1,0.2220909429816657,0.2,0.8,0.9873677382976634
1,0.7995792438932912,0.8,0.9,0.9999993882182732
1,0.8346788030276381,0.0,0.8,0.9983079290037715
1,0.2774821700393181,0.6,0.9,0.9998643034804487
1,0.4364924129692496,0.4,0.7,0.9999986375349907
1,0.5644747778680255,0.6,0.7,0.9935160927985356
0,0.47252873430175646,0.4,0.6,0.9995208157401448
1,0.6624811694309087,0.4,0.8,0.25438630881876073
0,0.33499935722324703,0.2,0.3,0.000692435997844332
0,0.4194185975927082,0.0,0.5,0.3561272817325261
0,0.18097638462001575,0.0,0.5,0.00019484847002127767
0,0.2516601678014782,0.2,0.1,3.6412386679962426e-05
1,0.36854230881606664,0.4,0.5,0.02898378100772884
1,0.7408628621097751,0.8,0.9,0.99638451228465
1,0.9843671113245406,1.0,0.6,0.9999999999983995
