Severity,LR,KNN,RF,NB
0,0.4884680519288887,0.0,0.0,0.5989553968003696
0,0.4738245452697833,0.4,0.5,0.5826056283394493
1,0.5763130381022005,0.6,0.5,0.7960038129708329
0,0.4884680519288887,0.0,0.0,0.5989553968003696
0,0.617652255558384,0.4,0.5,0.7133188405197375
0,0.49377777518583144,0.4,0.4,0.573448779353145
1,0.5221737892355683,0.4,0.2,0.6150972226113612
0,0.5119976061861976,0.6,0.8,0.6261762493382883
0,0.478168807126464,0.4,0.7,0.5605211508494763
1,0.5120893782640289,0.4,0.8,0.47063218437858645
0,0.5031842534872826,0.6,0.7,0.6298144714516427
0,0.4987354099953655,0.4,0.7,0.6062771197003438
0,0.4892696327908565,0.0,0.0,0.5851251160855361
0,0.40172034372563775,0.6,0.5,0.5829654020895013
1,0.49382229170509545,0.4,0.5,0.6553025835881527
1,0.49631721850260724,0.4,0.6,0.6653846247429767
1,0.5353444629735804,0.6,0.7,0.7123221594342639
1,0.4662015992973786,0.4,0.4,0.20645009484985344
0,0.4917938198894463,0.4,0.4,0.4289553696971978
1,0.510989624308035,1.0,1.0,0.63772729405916
0,0.5515558092403504,0.6,0.3,0.745543330001904
1,0.516076448983584,0.4,0.3,0.5654429728358527
1,0.45695637747187223,0.4,0.2,0.23694735865910177
1,0.510989624308035,1.0,1.0,0.63772729405916
1,0.5907820852443111,0.6,0.5,0.7237823863945169
1,0.6074521577225279,0.8,0.6,0.8899950400679771
1,0.5004622820445654,0.6,0.6,0.6773599827111143
1,0.5848233395323457,0.8,0.8,0.868010449637487
1,0.5392652932841598,0.8,0.7,0.5680387383917662
1,0.5120902935020926,1.0,1.0,0.48793212844273764
0,0.3943867285919721,0.0,0.5,0.005760997290917444
1,0.5120902935020926,1.0,1.0,0.48793212844273764
0,0.559878348688452,0.4,0.4,0.7151351822373346
0,0.374409421117801,0.4,0.8,0.8850758593767009
0,0.610745592600331,0.8,0.8,0.8059411409045547
0,0.4810359656826731,0.4,0.9,0.4782511584159156
0,0.5170328780101998,0.6,0.7,0.5743786579801147
0,0.47913530202039784,0.8,0.8,0.48021310596615585
0,0.44836218937106853,0.6,0.6,0.00011051952248636009
1,0.5120902935020926,1.0,1.0,0.48793212844273764
0,0.6249814612939002,0.4,0.5,0.8639989305301422
0,0.470933110334838,0.2,0.7,0.30982166207359757
1,0.5121892591043002,0.4,0.3,0.6145641553534553
0,0.5748557181016738,0.8,0.7,0.7630077728510783
0,0.5257972741959982,0.8,0.8,0.5976061880204815
1,0.4751313213835429,0.6,0.5,0.3856376883742634
0,0.5857430382961213,0.6,0.9,0.7943914852546142
0,0.5933441888771067,0.6,0.3,0.11911347123974024
0,0.5036380784051332,0.4,0.3,0.6209667259279255
0,0.38409090687004693,0.4,0.1,0.24401745251921936
0,0.486509909513542,0.0,0.0,0.5760415100274573
0,0.4963710183028018,0.4,0.9,0.5996962490466008
0,0.44203763876805935,0.0,0.1,0.39351814318285155
0,0.5846582613326994,0.8,0.6,0.7399767612148943
1,0.5180525041923335,1.0,1.0,0.6360992828286212
0,0.40379798782685516,0.4,0.6,5.944872228201895e-06
0,0.44200924733774405,0.4,0.5,0.47141367095108966
0,0.2970285526563459,0.6,0.5,0.0013985890397789792
0,0.568615593513748,0.8,0.4,0.8305553270081755
0,0.46740724877634116,0.6,0.8,0.5251206178224369
0,0.6347999368876972,0.8,0.3,0.8439618375186595
0,0.603520029902443,0.6,0.6,0.9011414045892394
0,0.5218575391950198,0.8,0.5,0.6678946755261389
0,0.5698897684719876,0.8,0.5,0.7622364875073403
0,0.4021303898713728,0.6,0.7,0.33336160910910534
0,0.4849068338091416,0.2,0.2,0.4253157196099374
0,0.46397074514172215,0.4,0.4,0.5395188188474582
0,0.47399612070659786,0.2,0.1,0.5495891367441084
0,0.43768032221574754,0.4,0.6,0.06659288920289624
0,0.4827131461515932,0.0,0.0,0.5763658084733659
1,0.5444732705211336,0.8,0.7,0.6941894619021038
1,0.45654278280268573,0.6,0.5,0.11957065243326798
1,0.5364250717107442,0.2,0.4,0.7207443507748301
0,0.4892273363250413,0.4,0.5,0.4536734482220063
1,0.42727995744299424,0.6,0.4,0.49243542239983085
0,0.44469786490855134,0.4,0.5,0.39740303717556785
0,0.5377853477328546,0.6,0.6,0.6490163668177789
0,0.4852144112907994,0.0,0.0,0.5733953123957399
0,0.4852144112907994,0.0,0.0,0.5733953123957399
0,0.43535315126905494,0.6,0.5,0.4217722795442216
0,0.4577764311371919,0.0,0.2,0.19923412548180477
0,0.463860109484547,0.6,0.5,0.5131692937553417
0,0.4889322804489968,0.0,0.0,0.6068635939546748
1,0.5180525041923335,1.0,1.0,0.6360992828286212
0,0.4889322804489968,0.0,0.0,0.6068635939546748
1,0.5180525041923335,1.0,1.0,0.6360992828286212
0,0.4889322804489968,0.0,0.0,0.6068635939546748
0,0.4889322804489968,0.0,0.0,0.6068635939546748
1,0.5101941845411089,1.0,1.0,0.6366861130969836
1,0.44510828297666805,0.6,0.6,0.5296620839166104
0,0.5830490007115703,0.6,0.5,0.723182734275067
0,0.5069929384260446,1.0,0.2,0.6367784015701314
1,0.3944056679987464,0.4,0.4,0.05132316221433518
1,0.5474503047840464,1.0,0.3,0.3097084649542828
1,0.48806828633468385,0.2,0.4,0.5496095207572895
1,0.6026602772525987,0.8,0.8,0.8601394091127044
1,0.5528727902907328,0.6,0.6,0.7081524891296306
1,0.6453594917331161,0.6,0.6,0.9275378848605133
1,0.6201209807028594,0.6,0.8,0.7681262504037998
1,0.49173122433938293,0.2,0.1,0.3933537782972622
1,0.28883897206176046,0.4,0.3,1.5075129190941738e-05
1,0.566746726466292,0.6,0.2,0.5504372654381876
1,0.42687886288542026,0.6,0.6,0.5410277098780633
1,0.5971141185242317,0.8,0.7,0.8251702662802691
1,0.46992789190489515,0.2,0.5,0.4169882663586645
1,0.4300902843039062,1.0,0.5,0.5165418242671915
1,0.419497319129881,0.6,0.8,0.4630110106546104
1,0.464547609020894,0.6,0.5,0.45088500388877795
1,0.5080700449375796,0.4,0.4,0.5503191244275881
1,0.4628265739334507,0.6,0.5,0.5595469784518574
1,0.5047647108359619,0.6,0.8,0.6674960498435603
1,0.4238577571030009,0.6,0.6,0.4372591141424143
1,0.44937765894387843,0.6,0.7,0.5394352710050428
1,0.5338746947654814,1.0,0.9,0.638052487738479
1,0.5108526104681629,1.0,1.0,0.6347558778503782
1,0.5308649686220125,0.4,0.4,0.6126187591413251
1,0.5238580177063421,1.0,0.5,0.6512577477418224
1,0.4546005645598435,0.2,0.3,0.451388743499345
1,0.5687498824494926,0.8,0.6,0.6665053885356171
1,0.4873068642316415,0.6,0.3,0.48044026278465746
0,0.48566747312278813,0.4,0.4,0.008629012034654675
1,0.5041750728564088,0.6,0.8,0.6146798316592851
1,0.5406470675492926,0.6,0.6,0.7179897589447799
0,0.48737303249326336,0.0,0.0,0.6289582117593203
0,0.48737303249326336,0.0,0.0,0.6289582117593203
1,0.5596518663269893,0.4,0.7,0.6003565868655732
1,0.4633861912495867,0.2,0.1,0.5381437009969992
1,0.49261928181558734,0.6,0.3,0.5735833787046091
1,0.560878238296045,0.8,0.6,0.7574420156635785
1,0.4886135555157174,0.0,0.5,0.6413996878012511
1,0.47738809274778915,0.4,0.2,0.39338328374470144
0,0.5071719298154548,0.4,0.3,0.6232721353147849
1,0.456737050252661,0.4,0.6,0.36899973114430945
0,0.4611734391525873,0.2,0.4,0.5022944091154188
0,0.4452234756778009,0.4,0.3,0.3526370285751411
0,0.5498594481882078,0.8,0.8,0.8022928897579862
0,0.4817396983343974,0.8,0.9,0.7572735396795995
1,0.5044329555149852,0.6,0.4,0.010886087306897146
1,0.5115561760540561,1.0,1.0,0.6907511581472643
1,0.5150813709127824,0.8,0.5,0.669647167793256
