Severity,LR,KNN,RF,NB
0,0.4549189249421316,0.0,0.0,0.4470627756764406
0,0.4500381184904735,0.2,0.4,0.35183441445173863
1,0.46133795808664174,0.6,0.6,0.37183743974547534
0,0.4549189249421316,0.0,0.0,0.4470627756764406
0,0.4914493366808844,0.4,0.2,0.2785978440501914
0,0.41274280141209,0.0,0.3,0.12697739289740187
1,0.5518233135578549,0.6,0.1,0.14086415737901448
0,0.46660101472373416,0.2,0.2,0.8084968060961591
0,0.5846356763566929,0.6,0.6,0.9981416030702986
1,0.6157396242838689,0.2,0.5,0.8023563757837191
0,0.5502341718208639,0.6,0.6,0.9992034778391772
0,0.642857217917015,1.0,0.7,0.9121387957630429
0,0.4454845285253486,0.0,0.0,0.2622418991823889
0,0.2107138804227616,0.4,0.2,0.00021012821552361864
1,0.5978899701916147,0.8,0.4,0.8030787429863079
1,0.591232696836586,0.4,0.4,0.7058255520945537
1,0.4162675044126854,0.0,0.4,0.4028677276338949
1,0.4011919143675952,0.2,0.5,0.7800677732341209
0,0.35670963326816807,0.0,0.3,0.02041348640494483
1,0.5446106045539627,1.0,1.0,0.5242519499408934
0,0.43723678938782173,0.4,0.3,0.1468892140541802
1,0.4077226026247289,0.4,0.8,0.01459139342537298
1,0.36115439162964746,0.2,0.0,0.02520318771634066
1,0.5446106045539627,1.0,1.0,0.5242519499408934
1,0.42087795412163853,0.6,0.6,0.11857651999106494
1,0.550552245904658,1.0,0.7,0.7434254622716231
1,0.3666787331893447,0.2,0.5,0.09960979267534004
1,0.6927515263585687,0.6,0.4,0.9975045045062196
1,0.4978684237784821,1.0,0.6,0.20545430700301642
1,0.5490831403472195,1.0,1.0,0.22701399915441753
0,0.43707996069637195,0.2,0.4,0.1629432252492754
1,0.5490831403472195,1.0,1.0,0.22701399915441753
0,0.6381243862330706,0.6,0.7,0.8728872120781972
0,0.37061236122915603,0.0,0.4,0.08990186809685818
0,0.570381957842978,0.6,0.8,0.9967875325033493
0,0.5646221585186038,0.2,0.6,0.9186241705332833
0,0.6642321424149056,0.6,0.5,0.9794051926319621
0,0.40374844127994636,0.4,0.5,0.1547613050388374
0,0.4341436913888095,0.6,0.6,1.0
1,0.5490831403472195,1.0,1.0,0.22701399915441753
0,0.44746611115766405,0.8,0.5,0.6966783517596541
0,0.6603370324414266,0.8,0.9,0.967679042994151
1,0.5915616976200407,0.6,0.4,0.9995799794929295
0,0.44704799233029385,0.8,0.5,0.5513303190935623
0,0.499897607240031,1.0,0.6,0.5328645196730782
1,0.4032595742274293,0.2,0.3,0.004318191245677327
0,0.7089164711897314,0.8,0.9,0.9510297218405189
0,0.46476673618969966,0.4,0.3,3.2664442778307028e-06
0,0.6217952718357604,0.4,0.8,0.7909065632482295
0,0.4491899038350899,0.2,0.5,0.008105825146529043
0,0.4501256449822392,0.0,0.0,0.5020635030012212
0,0.5468419846692774,1.0,0.6,0.65309425593086
0,0.4217284664841803,0.8,0.7,0.09735965221103868
0,0.529430393513364,0.2,0.6,0.6805804874413128
1,0.554045290465568,1.0,1.0,0.44911071027523586
0,0.3497946006090693,0.2,0.2,0.08547272004810895
0,0.4188662790190183,0.0,0.5,0.08368972878351297
0,0.30452908650343324,0.6,0.6,0.004689911893145571
0,0.5310709604412073,0.4,0.2,0.9959699121092705
0,0.40926790050874057,0.4,0.3,0.20734413877119795
0,0.36497788480727644,0.0,0.2,0.24303764969442773
0,0.5986602041325944,1.0,0.5,0.7888012347321788
0,0.8031001216120017,0.8,0.8,0.9999759397692356
0,0.3369247208890291,0.4,0.4,0.06846748196586652
0,0.8254633611372391,0.8,0.7,0.998577628472053
0,0.5310905799162633,0.0,0.6,0.2521483126041378
0,0.4044892946280981,0.2,0.6,0.3662868256222451
0,0.3714902798326101,0.0,0.3,0.11073992547824127
0,0.24063687977413722,0.2,0.3,0.0021102797186796237
0,0.45280179263290216,0.0,0.0,0.22294695961068042
1,0.5058879673802016,0.6,0.4,0.15293562827253288
1,0.39869425072070985,0.4,0.6,0.030476211076311904
1,0.7092953438842978,0.8,0.5,0.9920581802625494
0,0.41649899265259316,0.4,0.4,0.15984881582893934
1,0.2510606186691423,0.4,0.1,0.009926076693476522
0,0.45823630482255906,0.4,0.3,0.11361830531891383
0,0.6700804862653758,0.6,0.8,0.979086845817445
0,0.44802425085365993,0.0,0.0,0.32439391264505135
0,0.44802425085365993,0.0,0.0,0.32439391264505135
0,0.2454233029344872,0.4,0.3,0.026959186299199973
0,0.4012636444195311,0.4,0.3,0.42511006546385943
0,0.31847033212033515,0.0,0.2,0.024127257961740745
0,0.4582580391506711,0.0,0.0,0.49899009012713
1,0.554045290465568,1.0,1.0,0.44911071027523586
0,0.4582580391506711,0.0,0.0,0.49899009012713
1,0.554045290465568,1.0,1.0,0.44911071027523586
0,0.4582580391506711,0.0,0.0,0.49899009012713
0,0.4582580391506711,0.0,0.0,0.49899009012713
1,0.5430065135388266,1.0,1.0,0.7428838655063407
1,0.38642935265532863,0.0,0.2,0.15431163847581983
0,0.7020971324391544,0.8,0.7,0.961002556804641
0,0.5615761776376029,0.8,0.7,0.7377998836983172
1,0.28965380133451707,0.2,0.6,6.287396977310466e-13
1,0.47892887866056333,0.6,0.5,0.7561671467754367
1,0.5163527029768294,0.6,0.5,0.22027773839470824
1,0.5673578727920473,0.6,0.2,0.9991026531034564
1,0.5264609743066498,0.6,0.7,0.7184158333828518
1,0.5859286911511453,0.4,0.6,0.5079321142418313
1,0.7019074148483496,1.0,0.6,0.995929228374921
1,0.4348857361131169,0.0,0.3,0.04232279609709905
1,0.3286976421225482,0.0,0.3,0.02012727940629152
