Severity,LR,KNN,RF,NB
0,0.4987324248957117,0.0,0.0,0.42268508950936434
0,0.49395704711620625,0.4,0.5,0.41613247363961897
1,0.5214861585875243,0.8,0.85,0.6206662010431176
0,0.4987324248957117,0.0,0.0,0.42268508950936434
0,0.5095630859069036,0.4,0.45833333333333337,0.482878131520706
0,0.5049736472018314,0.6,0.5583333333333333,0.4495522799842052
1,0.5045146444609219,0.6,0.425,0.44685695443175644
0,0.49854719794761787,0.0,0.0,0.42220683909647855
0,0.522402478095351,0.8,0.25,0.6337273556823743
1,0.505891626759342,0.6,0.49000000000000005,0.4552896009524939
0,0.5111021483782001,0.8,0.7666666666666668,0.48931267771121095
0,0.5293882216374431,0.6,0.9,0.7458435899205622
0,0.4977073998620919,0.0,0.0,0.40617055477948416
0,0.49069338371817034,0.6,0.7166666666666666,0.4027460193391444
1,0.5127747801576292,0.6,0.5483333333333333,0.5130691343637989
1,0.5150682172905868,0.6,0.8083333333333332,0.5379774792796823
1,0.5214861585875243,0.8,0.85,0.6206662010431176
1,0.4948750205514106,0.4,0.7,0.41646200042530973
0,0.49801958335634994,0.0,0.0,0.4069487077531036
1,0.5022509198487821,1.0,1.0,0.42284871855797984
0,0.5105790184315544,0.4,0.6666666666666666,0.4841153069661109
1,0.5236473428918014,0.6,1.0,0.6553906269498392
1,0.45730050239619097,0.4,0.6,0.7457365567613192
1,0.5022509198487821,1.0,1.0,0.42284871855797984
1,0.5194681427128757,0.6,0.8,0.5925596124871672
1,0.5257357384913537,0.6,0.6,0.6882290948395952
1,0.4838939945500912,0.4,0.9,0.42524841582016387
1,0.4892487832805765,0.2,0.3504761904761905,0.4214667159906001
1,0.5133108742694217,0.6,0.6166666666666667,0.5302321663984211
1,0.5019496843341993,1.0,1.0,0.4232170458541472
0,0.4474469154233279,0.4,0.6,0.8810070538713217
1,0.5019496843341993,1.0,1.0,0.4232170458541472
0,0.5044471523524938,0.8,0.9,0.4379997040784005
0,0.4922033413877023,0.6,0.8,0.41101505355673773
0,0.5065580246065083,0.4,0.0,0.45432142043229673
0,0.5086686630771885,0.4,0.575,0.4741879855786805
0,0.5145765671301297,0.4,0.4,0.5483224329213388
0,0.47996887599152493,0.2,0.2,0.49871508152889926
0,0.4702820147777537,0.4,0.1,0.6472208319042495
1,0.5019496843341993,1.0,1.0,0.4232170458541472
0,0.5258016297228572,1.0,1.0,0.6137869467730883
0,0.5038331114064184,1.0,1.0,0.4329864997544826
1,0.5263785187380677,0.4,0.1,0.7527921879278012
0,0.5258016297228572,1.0,1.0,0.6137869467730883
0,0.5006915600258124,0.4,0.2,0.420082269554642
