Severity,LR,KNN,RF,NB
0,0.3317016010286518,0.6,0.7,0.39893216863943054
0,0.4904126089113326,0.4,0.7,0.5566748468137233
1,0.5323156653496531,0.8,0.8,0.940338220044243
0,0.243631326095107,0.4,0.3,0.40329701630661385
0,0.3145560907188564,0.4,0.3,0.022100944639968773
0,0.33609473188855665,0.2,0.3,2.366762226650896e-06
1,0.1983013385103033,0.0,0.4,2.7609277518218935e-05
0,0.48380790854296896,0.0,0.1,0.7938076587377991
0,0.400740979811127,0.4,0.4,0.5981716985393376
1,0.41596414775336904,0.2,0.7,0.9726699995081778
0,0.41158637177846996,0.4,0.2,0.3047890936524569
0,0.7431737400665319,0.4,0.4,0.7572370454836165
0,0.566598059101715,0.8,0.6,0.8360345437008397
0,0.17610677757889853,0.0,0.1,2.5608132091335482e-08
1,0.4950106656617909,0.6,0.1,0.15993755281089067
1,0.4484751396572715,0.4,0.3,0.0011452149279368748
1,0.48577344962992813,0.6,0.6,0.9707893349020513
1,0.7812721392668596,0.8,0.8,0.9981626805561805
0,0.43216674170534547,0.4,0.5,0.9995774105707423
1,0.5289369574920004,0.4,0.6,0.9902775219234211
0,0.4012078524917728,0.4,0.6,0.02743667867878416
1,0.9152779073973608,0.8,0.3,0.9991897755895701
1,0.5339880758491711,0.4,0.6,0.9810577325144318
1,0.4887668633788035,0.8,0.4,0.7807600121854066
1,0.6391575494475683,0.4,0.7,0.9979377504107874
1,0.6350463366613583,0.6,0.7,0.9030735992428756
1,0.5281855516222576,0.4,0.5,0.9095467053243639
1,0.5297446552122869,0.8,0.6,0.5375705178895263
1,0.5411868412793752,0.8,0.4,0.0228010618817146
1,0.4454460458112165,0.6,0.7,0.9986764898145382
0,0.37135796111060854,0.6,0.5,0.9667985702118211
1,0.7047429014232733,0.6,0.6,0.9999999997376392
0,0.6703829594326769,0.2,0.2,0.9066314508258572
0,0.22781650725611496,0.2,0.2,9.479466900796646e-08
0,0.34918099437499545,0.4,0.3,0.21769087773961227
0,0.308544683935112,0.4,0.1,0.03511762609489854
0,0.44936472831984026,0.8,0.6,0.952514846016625
0,0.45079070197196475,0.2,0.3,0.6797055660212049
0,0.7810637496086269,0.8,1.0,0.9998327805512263
1,0.712976323184131,0.6,0.5,0.824607568777805
0,0.7576163012491148,0.2,0.1,0.9995349586599392
0,0.40975303109059497,0.4,0.2,0.1868002749540896
1,0.20826675595204613,0.6,0.5,0.26626765440734945
0,0.37590903223238864,0.4,0.3,3.6164240721488257e-06
0,0.5183754479636868,0.8,0.3,0.929125539286321
1,0.56618483859236,0.6,0.6,0.8133552118707809
0,0.5144669137275112,0.4,0.4,0.8738330613413414
0,0.6528398982129865,0.8,0.7,0.00015496807723197725
0,0.5350941994419088,0.4,0.2,0.433576435122597
0,0.37407810367929617,0.4,0.2,0.0001956229603962443
0,0.5293453723117449,0.2,0.2,0.8570305134872775
0,0.30540870518820246,0.2,0.2,4.50438806954626e-06
0,0.5373863972171823,0.6,0.1,0.7512050101801829
0,0.3788669035995863,0.4,0.2,0.16043470508287874
1,0.15507416305959193,0.2,0.5,0.00015701607909285868
0,0.679537909536322,0.4,0.2,0.6324039617884781
0,0.3872946194687123,0.0,0.1,1.730476365803286e-05
0,0.413535783593689,0.4,0.5,0.0002231930156919244
0,0.3836917375151643,0.2,0.2,0.9684084987241356
0,0.3417445007465563,0.8,0.2,0.0056475281272339835
0,0.37558936990929304,0.6,0.4,0.745438570632947
0,0.4209656420596561,0.4,0.6,0.006018828526453097
0,0.38942239012001656,0.8,0.1,0.006228296825525986
0,0.5612812682917244,0.6,0.8,0.8809967067660998
0,0.3951206756205948,0.2,0.3,0.6254553599016577
0,0.4276274734939865,0.6,0.4,0.051313054984991766
0,0.3820894917375666,0.6,0.4,0.950777515215584
0,0.1728364004822644,0.2,0.2,2.2571550225565388e-05
0,0.35997505092620813,0.6,0.6,0.08731277946554102
0,0.4020748794586071,0.2,0.8,0.9941691551112696
1,0.6470935072284643,0.6,0.7,0.9930002281853645
1,0.7857341598535498,0.8,0.7,0.9998990820975975
1,0.5289883441230722,0.6,0.8,0.9871968925209075
0,0.462537493981429,0.4,0.5,0.018791875263041803
1,0.507668661074131,0.8,0.3,0.9906323911098902
0,0.6234554593126086,0.8,0.3,0.9205407719737158
0,0.4967144337881803,0.4,0.3,0.9999947240879362
0,0.7047168551366031,0.6,0.5,0.9778749571562505
0,0.3422200308336772,0.2,0.4,0.05402789072784337
0,0.4547995490825398,0.6,0.4,0.7719261541631022
0,0.7017584088719188,0.8,0.5,0.99977839324098
0,0.37942173057030737,0.2,0.4,3.540511234745438e-06
0,0.4938023922523015,0.2,0.6,0.4774777852770462
1,0.4224901828220717,0.4,0.6,0.9519819869870582
