Severity,LR,KNN,RF,NB
0,0.6799850922837058,0.6,0.7,0.7814192037703034
0,0.47862442629937935,0.6,0.4,0.16332244846728958
1,0.36804829464128536,0.8,0.7,0.9924977466132628
0,0.12537842104702818,0.2,0.1,0.013553790474415954
0,0.07556508622015075,0.2,0.2,0.9551186360278527
0,0.44019785454667176,0.2,0.4,2.958289988552538e-09
1,0.10244831950958694,0.0,0.4,1.0454655261593286e-07
0,0.45959171966035617,0.2,0.4,0.9005762969054948
0,0.4931397470314765,0.2,0.7,0.154381233727429
1,0.24885121498940063,0.2,0.7,0.2939345595704193
0,0.2715809693279806,0.2,0.4,0.04438481194304617
0,0.5348450871753032,0.6,0.3,0.5563957465668544
0,0.483087640675199,0.4,0.2,0.12627828808254404
0,0.10679393224396673,0.0,0.0,5.753024058195686e-13
1,0.6904064539946971,0.8,0.3,0.7587975194719514
1,0.32464675393710074,0.4,0.3,9.900084041885957e-05
1,0.7077895143347019,1.0,0.8,0.9999999999993907
1,0.7759657162592928,0.8,0.9,0.999816990560714
0,0.3305680039135533,0.4,0.4,0.9997468019555174
1,0.4388080194132031,0.6,1.0,0.32640753322069205
0,0.430901471831479,0.2,0.7,0.013683215401101465
1,0.877590610982688,0.8,0.5,0.999683579911838
1,0.48548821863834085,0.2,0.7,0.9916314875147466
1,0.5886077700377061,0.8,0.7,0.7630917669673918
1,0.7769147957799429,0.4,0.5,0.9825014847937212
1,0.5608355191442608,0.6,0.6,0.9227369595763214
1,0.5951665447572464,0.6,0.5,0.9707472593077843
1,0.6491104069780542,0.6,0.8,0.93987442199345
1,0.5287401616870815,0.8,0.8,0.15414103502995014
1,0.6685099881659815,0.4,0.6,0.9999701164276509
0,0.467399268335987,0.2,0.4,0.12916743611874668
1,0.6796286821498646,0.4,0.7,0.9999999999999858
0,0.6098163137518284,0.4,0.1,0.9912661836194135
0,0.18923776140935689,0.0,0.0,2.387337281241649e-09
0,0.26981789976005593,0.4,0.4,0.037143021629941535
0,0.16089107568044989,0.2,0.2,2.320249695273471e-05
0,0.4776212986032789,0.4,0.3,0.019020356234123657
0,0.5171101756870945,0.2,0.7,0.9999794577659944
0,0.747629915782739,0.6,0.4,0.9995548846245572
1,0.9146782885587328,0.8,0.6,0.9986654732147052
0,0.798987463640594,0.4,0.6,0.9999737271570676
0,0.45187035862344604,0.4,0.7,0.018555310741511677
1,0.26784212154633286,0.2,0.4,0.916546610351079
0,0.41287265065554907,0.4,0.3,3.6688194449036633e-09
0,0.41782827488200425,0.8,0.4,0.9848217187717949
1,0.7126958094884435,0.6,0.4,0.9999249277501648
0,0.47393170415357255,0.4,0.2,0.5146731138188264
0,0.5608254340773003,0.6,0.7,0.0006741987422375247
0,0.7547978079065942,0.6,0.3,0.47453015521217456
0,0.3775617796831943,0.4,0.4,4.104160401911008e-07
0,0.38087448743935337,0.2,0.2,0.018519353790119115
0,0.4134064636161341,0.2,0.1,4.851674901933402e-07
0,0.5600059371888143,0.2,0.6,0.17544085489632466
0,0.3779740185547941,0.4,0.6,0.0009143476191149511
1,0.06178981303783015,0.2,0.6,1.718294108455902e-05
0,0.6455667415285538,0.2,0.4,0.050385639586377054
0,0.18669366797526393,0.0,0.3,1.9711048860378867e-08
0,0.4389441901911557,0.6,0.6,1.5485206510310754e-06
0,0.35251176765202513,0.2,0.2,0.8868889033872375
0,0.38085773466005135,0.8,0.3,0.0005162357463343694
0,0.4553358891823874,0.4,0.3,0.7488049274751984
0,0.6492698465057356,0.4,0.6,0.264233617927686
0,0.6770408838857334,0.8,0.3,0.007213487912143123
0,0.5905556048181417,0.6,0.2,0.8473605613477662
0,0.18435277074187492,0.2,0.1,0.023144331945617467
0,0.3257865075521297,0.8,0.3,0.15122830401172688
0,0.3875782098584302,0.4,0.6,0.9405845413056603
0,0.22964454878818677,0.2,0.1,2.7132196519269837e-08
0,0.09282847917950238,0.4,0.3,0.9333244741143647
0,0.2872277477817368,0.2,0.5,0.8445463653687715
1,0.748193689976749,0.8,0.8,0.9958747589508071
1,0.907631599047313,0.8,0.8,0.9999995546713262
1,0.6279896654654293,0.6,0.5,0.9966988925123529
0,0.3923789286369957,0.4,0.7,0.0002699532090128796
1,0.7147990571680787,0.8,0.4,0.9999999999908766
0,0.3101173789922632,0.6,0.4,0.1782712271684624
0,0.6464364740896292,0.6,0.9,0.9999999427090244
0,0.6236822509402886,0.6,0.6,0.9848671634715941
0,0.38733798985338075,0.0,0.4,0.06940221723605587
0,0.346609891109064,0.4,0.1,0.4828414260146918
0,0.6986665325647404,1.0,0.4,0.9999983483440109
0,0.2552239847354627,0.2,0.3,6.784114466372174e-09
0,0.681974497577089,0.4,0.8,0.17296088108757
1,0.5648222325179065,0.6,0.8,0.9999449593004955
0,0.23167100221238432,0.2,0.2,0.6252860574924642
1,0.41806503373846143,0.2,0.7,7.274284312756152e-05
0,0.9351593919413433,0.4,0.5,0.9999996396064851
0,0.7578690735457214,0.6,0.3,0.9999757391109374
1,0.8119179597270914,1.0,1.0,0.9999999805698823
