Severity,LR,KNN,RF,NB
0,0.8284394023449309,0.6,0.5,0.8434166239027373
0,0.5050942321626157,0.4,0.4,0.13454110377719739
1,0.3757319724253152,0.6,0.5,0.8935449023895876
0,0.3612895861047958,0.4,0.3,0.01992417000879466
0,0.1437742725361751,0.6,0.0,0.998939124156914
0,0.46202861420123975,0.2,0.4,0.0012483678910910298
1,0.17783280367770896,0.0,0.2,0.0037722577607702448
0,0.589025754248085,0.4,0.6,0.7017431826502712
0,0.4082764546237101,0.4,0.5,0.10924304057321202
1,0.3129855852499973,0.4,0.5,0.011561902204505778
0,0.28391360253052245,0.4,0.6,0.0957935155910688
0,0.36456728619336043,0.4,0.4,0.28678627070533036
0,0.30418354233614314,0.2,0.3,0.02756415332982745
0,0.23350379850192185,0.0,0.0,2.2465108515704095e-05
1,0.727120183368776,0.8,0.4,0.9429341727050499
1,0.2852572560266869,0.4,0.5,0.07949223193271557
1,0.7771898284699236,1.0,0.7,0.9999999999797353
1,0.6813237819954813,0.8,0.8,0.9095523409972378
0,0.3691247277899934,0.2,0.4,0.6253685875143683
1,0.3519119916330973,0.6,0.5,0.004735019005843821
0,0.39008926596322324,0.4,0.6,0.3296533702221685
1,0.43286162965581704,0.4,0.5,0.7192480231727957
1,0.41407924611797725,0.4,0.4,0.6958556673787554
1,0.6212263084195672,0.6,0.6,0.4749222044112731
1,0.6859388188854838,0.4,0.4,0.10396663158078426
1,0.38079234708831966,0.4,1.0,0.5617522140294811
1,0.650185014694172,0.6,0.4,0.7674521576547986
1,0.6867651885444257,0.8,0.8,0.930780770021714
1,0.47524282828264597,0.4,0.4,0.8864919717461287
1,0.80354931171203,0.6,0.9,0.977947463289771
0,0.5655818835227335,0.2,0.5,0.0050679530780258705
1,0.633535896169883,0.6,0.7,0.9999500325902005
0,0.5075877875501511,0.6,0.3,0.9211880234754694
0,0.2858386243667836,0.2,0.3,0.02456562851278707
0,0.42663250391547375,0.4,0.4,0.1217506897531685
0,0.19415328121956407,0.4,0.2,0.0006371141346709832
0,0.5253030497248329,0.4,0.2,0.0009656620502741449
0,0.5590027006518437,0.4,0.7,0.9999564077690241
0,0.5148338459577458,0.6,0.4,0.27302981075718996
1,0.8981988704285233,0.8,0.7,0.9937565629396611
0,0.7354007163766176,0.6,0.4,0.9465475819062041
0,0.5889091755315868,0.2,0.6,0.07604536728227429
1,0.4328386674458159,0.4,0.6,0.9680145789893265
0,0.49580300166085883,0.4,0.2,0.001013456370616233
0,0.42785863963994497,0.6,0.4,0.8319151273259995
1,0.7077362986437107,0.6,0.5,0.999672934785188
0,0.4432507977671417,0.6,0.6,0.13278287536541628
0,0.41750177530454935,0.4,0.5,0.8131827862003199
0,0.6775977678347036,0.8,0.4,0.5412327500227481
0,0.43234986077179327,0.8,0.4,0.0020931950291324356
0,0.3666660926961717,0.4,0.6,0.003137807420383891
0,0.5391146066277962,0.2,0.5,0.09723626163704537
0,0.46446082708379127,0.6,0.4,0.06582916991639239
0,0.332800712589428,0.2,0.3,0.0047663925439624935
1,0.1680516118116846,0.4,0.5,0.09862727851786521
0,0.5058732104117555,0.8,0.5,0.02991877725468352
0,0.1641005030069963,0.2,0.3,0.0011377377303739935
0,0.43467578715172306,0.6,0.5,0.006888712332321037
0,0.44915836454911384,0.6,0.2,0.2036855714428948
0,0.5191408281922406,1.0,0.3,0.08335918782899172
0,0.49565126432265105,0.6,0.2,0.5044544163042397
0,0.6113481425218469,0.4,0.6,0.9834184909968621
0,0.6897646081712958,0.6,0.9,0.5368932111091874
0,0.5692575981247606,0.8,0.4,0.4285290906471669
0,0.236674846586975,0.4,0.4,0.013989527439500004
0,0.4344185773508822,0.6,0.4,0.7671225228017283
0,0.48171304984512664,0.4,0.5,0.4504178724378645
0,0.3777973000874467,0.2,0.2,0.0012005826292986372
0,0.09064889046600873,0.2,0.5,0.9932121589421231
0,0.27975746258282164,0.2,0.1,0.030879592413163452
1,0.6740832758271659,0.6,0.6,0.6298663991605562
1,0.8014953350532975,0.8,0.4,0.9956070448652643
1,0.6766340882833576,0.8,0.9,0.796572602400668
0,0.3343637195723671,0.2,0.8,0.013903248713140678
1,0.8177071320156174,1.0,1.0,0.9999999990355022
0,0.23164548131916585,0.4,0.2,0.018382158889130508
0,0.6074482504827404,0.2,0.7,0.9892577349793732
0,0.5944179372606415,0.6,0.7,0.59555262015259
0,0.5986605480462738,0.2,0.7,0.5663082067442659
0,0.3794331233890972,0.2,0.2,0.21621174277966984
