Severity,LR,KNN,RF,NB
0,0.7303519308594849,0.8,0.7,0.9919210527973297
0,0.49060166059202415,0.2,0.3,0.4134521928976617
1,0.3452537136150551,0.2,0.3,0.09303738680964085
0,0.5882123678321027,0.2,0.5,0.5914078413350885
0,0.5271215225054054,0.4,0.5,0.5399961611622607
0,0.4671645385537085,0.6,0.3,0.22852700250153865
1,0.4723963015203871,0.2,0.4,0.4657298772408858
0,0.5334584668431683,0.4,0.3,0.9691114083909934
0,0.508516927747365,1.0,0.3,0.36487926926380837
1,0.6825899568182048,0.2,0.6,0.7999782711133089
0,0.40037127807042966,0.4,0.2,0.5905076830238672
0,0.5888921306522373,0.6,0.5,0.8999643710924501
0,0.4762376884879307,0.4,0.6,0.3332893276803134
0,0.5243245857554836,0.4,0.8,0.3901664955255748
1,0.5390555737098743,0.8,0.5,0.6590356711451377
1,0.435043349997606,0.4,0.8,0.39264813464711884
1,0.5222555925894359,0.4,0.8,0.45570245305838547
1,0.5235747626122459,0.4,0.6,0.7118372388542237
0,0.43114836842578663,0.4,0.2,0.37217808878786085
1,0.43840478167104785,0.4,0.4,0.16854414839831408
0,0.4520219650596316,0.0,0.4,0.23928623531054177
1,0.597203128978933,0.4,0.6,0.9992314606561645
1,0.4941835698761597,0.6,0.5,0.09755655204242425
1,0.43298131719629945,0.4,0.5,0.1033502061354482
1,0.4212524615490016,0.4,0.5,0.012959279569760639
1,0.5597908199689379,0.2,0.6,0.4910373761833604
1,0.6183468870924267,0.4,0.4,0.4181367955562419
1,0.5762549841262873,0.6,0.7,0.9087198485776968
1,0.5000777995652276,0.8,0.7,0.9098887894727176
1,0.5293447698006107,0.6,0.5,0.3843345717233168
0,0.42772257354676835,0.4,0.4,0.2774920827341804
1,0.588083741527926,0.4,0.8,0.9347372425303514
0,0.5087433481990504,0.6,0.5,0.33681744273278363
0,0.44827822180104715,0.4,0.3,0.23695277898699352
0,0.5144840572815468,0.6,0.4,0.478490088901063
0,0.4212527900060153,0.2,0.4,0.15766570820909437
0,0.43301705001585866,0.6,0.6,0.5391651075684856
0,0.4495342349304176,0.6,0.6,0.221142726491872
0,0.48572229304685416,0.4,0.6,0.5068939854829418
1,0.5747951044778525,0.4,0.3,0.9303486595652091
0,0.5538384986529294,0.6,0.6,0.957753903452066
0,0.6570495946558107,0.6,0.8,0.9511214364614016
1,0.3663855229230109,0.4,0.7,0.6248665139550599
0,0.4728056068847559,0.6,0.2,0.2248996824641731
0,0.4674609927126905,0.4,0.6,0.5511636684682173
1,0.627779215514561,0.4,0.7,0.19583053069994252
0,0.4933358957503868,0.4,0.5,0.3268627528759177
0,0.4512841746902313,0.6,0.6,0.5672027297228814
0,0.5070910043427203,0.0,0.2,0.6383637935388221
0,0.5113232914025486,0.6,0.5,0.6064207367218508
0,0.40309868437502133,0.2,0.1,0.1886425379771522
0,0.5101199575468394,0.6,0.5,0.4639228492664525
0,0.5247529390252755,0.2,0.5,0.24686470589083348
0,0.5084064823425362,0.4,0.5,0.6226654515057081
1,0.39949852800614455,0.2,0.2,0.2204918873875926
0,0.4715027117858126,0.2,0.3,0.20800552690465632
0,0.3930518398212135,0.2,0.3,0.07488518769417818
0,0.4312113338589742,0.2,0.5,0.43222765510839967
0,0.42342660430638757,0.2,0.6,0.1769511778045743
0,0.5491741504508769,0.4,0.7,0.5320215458841283
0,0.43761309610853555,0.4,0.2,0.24095199080380675
0,0.46726604886985235,0.4,0.8,0.07695974749956905
0,0.5884632009251424,0.8,0.8,0.7908915074657288
0,0.5580951292991305,0.4,0.4,0.46643369100187193
0,0.4290765171311715,0.2,0.2,0.20430114027425023
0,0.6991697111911348,0.4,0.5,0.7238148809847179
0,0.5220976338729321,0.2,0.5,0.3906196530147375
0,0.26349144996126994,0.4,0.5,0.17754664532371325
