Severity,LR,KNN,RF,NB
0,0.4354458730143049,0.4,0.3,0.2714413087723904
0,0.45989064625032955,0.2,0.4,0.35735072556557484
1,0.2606810688216833,0.2,0.6,0.07710779507572765
0,0.5399002262451107,0.2,0.2,0.3429894371957035
0,0.18703727973887374,0.2,0.4,0.01962722074372698
0,0.30860083890323214,0.0,0.3,0.050754961316429904
1,0.45524258747072127,0.6,0.8,0.387203492995886
0,0.4152561589876138,0.4,0.4,0.20446497363600533
0,0.3493976244988478,0.4,0.3,0.26765348328831445
1,0.5703775962713656,0.4,0.3,0.3542501683561588
0,0.44262140695404656,0.4,0.0,0.31585373502912434
0,0.4221010037169481,0.2,0.3,0.2747597362957197
0,0.5447400099196609,0.2,0.3,0.49034815701802137
0,0.34299544862483694,0.0,0.2,0.05342353090392985
1,0.513954400148293,0.6,0.7,0.4786773338324029
1,0.5941839941612552,0.6,0.5,0.7570664488396497
1,0.660143273537445,0.6,0.6,0.86145567319315
1,0.6427876114629616,1.0,1.0,0.8750650503682839
0,0.5508357255598862,0.6,0.5,0.5967158076547313
1,0.3507210620750962,0.4,0.3,0.09165120165978927
0,0.2840477526662965,0.0,0.1,0.03069153267917371
1,0.5714404741392168,0.8,0.7,0.8079605348648825
1,0.5695990721674077,0.8,0.8,0.5931963973510561
1,0.5288362134307668,0.4,0.8,0.6217406110583779
1,0.5132090530281885,0.8,0.3,0.44795396704425483
1,0.5640297206542072,1.0,0.9,0.6935032550124172
1,0.4951520108814472,0.2,0.8,0.6219472598069788
1,0.6509226540881535,1.0,0.7,0.9647569925143599
1,0.5439909839613821,1.0,0.9,0.6255113697797866
1,0.670408545959514,0.6,0.9,0.8239399074195136
0,0.49336407324901943,0.2,0.7,0.48158223368877784
1,0.6927645135774597,0.8,0.8,0.8961069706981202
0,0.36994061012932855,0.4,0.5,0.908517167815133
0,0.3870278439792745,0.0,0.0,0.09697002514706107
0,0.3640053900589464,0.2,0.4,0.3222995386581355
0,0.3958631407753097,0.0,0.2,0.24607773479956152
0,0.4603498514500573,0.2,0.3,0.6607417611818347
0,0.5197540028909036,0.4,0.4,0.4090670565729423
0,0.5076754990722234,0.2,0.4,0.5572134225651607
1,0.7540852322720852,1.0,1.0,0.9981542868555605
0,0.6681065027726609,0.6,0.6,0.7096802428746001
0,0.4238994965797692,0.2,0.0,0.26131907284919964
1,0.41643419633629797,0.0,0.6,0.34385380620237266
0,0.41658705902371646,0.2,0.3,0.2504941343606745
0,0.6304200692830785,0.6,0.9,0.8604127775893748
1,0.6700046602596229,0.6,0.8,0.6592312894548727
0,0.513886160113605,0.4,0.0,0.42957871898387945
0,0.4129833750062487,0.0,0.7,0.1785005038582736
0,0.36005331218933073,0.2,0.2,0.0969472121496092
0,0.41461971282035837,0.2,0.1,0.16381426702178606
0,0.396246359067305,0.2,0.1,0.20163882881440356
0,0.4613762716020047,0.6,0.6,0.3198723390353284
0,0.4975524997435559,0.6,0.5,0.46396349887565247
0,0.4198543075067439,0.6,0.4,0.2134047326097326
1,0.4541051154807126,0.8,0.5,0.3800604419326948
0,0.5132173477746591,0.4,0.1,0.48659158050764495
0,0.24782972145450896,0.0,0.4,0.031987373111123485
0,0.36415627352411006,0.6,0.1,0.13405836649915626
0,0.4671167995705192,0.4,0.1,0.2818477126357639
0,0.3036320692637347,0.2,0.0,0.05694033481555342
0,0.5046121940556079,0.6,1.0,0.45530089908174076
0,0.3328308383069656,0.2,0.2,0.08215535435228612
0,0.5503190924371724,0.8,0.8,0.5825203021417401
0,0.5018836822933939,0.6,0.4,0.48027240870500426
0,0.28451538521098324,0.2,0.0,0.04244302196864185
0,0.45614706128614113,0.2,0.3,0.3320726681904645
0,0.42663786789659663,0.2,0.5,0.47357336910458586
0,0.38820456299871015,0.4,0.0,0.27601070750861123
0,0.3366649594379248,0.4,0.1,0.08190427925791059
0,0.3797421204866083,0.2,0.4,0.8674949508757086
1,0.4777065547151825,0.6,0.6,0.2705109176369924
1,0.6934344182976192,0.8,0.8,0.8685052593521169
1,0.7417459963169828,0.8,1.0,0.9828039198246551
0,0.47229112790336125,0.4,0.7,0.30461610354107654
1,0.8039426004919238,0.8,1.0,0.9999634877239004
0,0.4469401785668104,0.2,0.3,0.31752711345884466
0,0.39193735142696967,0.2,0.4,0.27652263844620567
0,0.7110479324493887,1.0,0.9,0.9071802732488377
0,0.5086877762848193,0.6,0.6,0.4033231831909097
0,0.5419782613170224,0.4,0.7,0.3348943656281791
0,0.6673953710528004,0.6,1.0,0.8481204958505209
0,0.3204226827788084,0.0,0.2,0.23997180301919524
0,0.4459146409499435,0.6,0.7,0.3787458916656386
1,0.614521609333354,0.4,0.6,0.7807888129508903
0,0.44124208443543556,0.6,0.7,0.24285253094997036
1,0.6065352927025524,1.0,0.8,0.7534373207505183
0,0.8313197589451748,1.0,1.0,0.9890565495357022
0,0.5070624417918335,0.2,0.4,0.4265860298160956
1,0.5927426268034404,1.0,0.7,0.6742063331858758
1,0.3589620021060764,0.4,0.4,0.13450037102878326
0,0.7862066775315115,1.0,1.0,0.9665975844009054
0,0.38394307324266463,0.4,0.6,0.21577286660681785
1,0.46416537581670997,0.0,0.1,0.34173818733823386
1,0.5306993150302693,0.6,0.2,0.45472529781404475
1,0.583555785661059,0.6,0.4,0.6435469191308676
1,0.41114635404750893,0.2,0.8,0.20886222853442593
