Severity,LR,KNN,RF,NB
0,0.8129689906455546,0.8,0.3,0.9571556386948049
0,0.33490491045002135,0.2,0.0,0.3423807013626345
1,0.7837651620556043,0.6,0.8,0.9999999999999005
0,0.42363948133728485,0.2,0.1,0.5068075000218912
0,0.4147900397859808,0.6,0.4,0.38596848894338776
0,0.41096107456956826,0.8,0.4,0.3033090951685921
1,0.17772975303278746,0.2,0.7,0.029418249200170145
0,0.46989508863738655,0.4,0.1,0.5856321895445156
0,0.32157017327644866,0.0,0.1,0.02717537613017637
1,0.17600592848040558,0.8,0.3,0.014046254822339517
0,0.24974485099961305,0.0,0.2,0.09410753361878915
0,0.5460397411455887,0.6,0.0,0.3640056450148783
0,0.6362493119742694,1.0,0.0,0.840533543379612
0,0.4431898989604327,0.8,0.6,0.19163416202663716
1,0.8307850650576604,0.6,0.8,0.9846001031841598
1,0.4113990005445275,0.0,0.7,0.1486730381276032
1,0.6188613988716927,0.6,0.7,0.8808106751772012
1,0.4001414635951553,0.2,0.5,0.20164258870033216
0,0.24783425674485968,0.2,0.0,0.1596426099578547
1,0.25420501864199063,0.4,0.5,0.0030880641612767695
0,0.36836189799277735,0.6,0.5,0.06392389320641408
1,0.7812654623122394,0.8,0.9,0.9999999988601829
1,0.4662400601643714,0.2,0.9,0.09659904183259507
1,0.33089160821947805,0.4,0.8,0.06364183241426573
1,0.671451408052464,0.6,0.9,0.7008829189038226
1,0.7369319072151534,0.6,0.7,0.969391202237857
1,0.2592098733823222,0.6,0.6,0.08792906780010369
1,0.7479731185222224,0.8,0.9,0.9714044444435055
1,0.4750259028434218,0.4,0.7,0.34582987640051555
1,0.748874565153655,0.6,1.0,0.85943807374129
0,0.34691676364297114,0.2,0.0,0.1460220368908447
1,0.6044688467090025,0.6,0.8,0.7611486813422457
0,0.4543475616774735,0.6,0.3,0.02683837705075686
0,0.5412539557802939,0.6,0.6,0.8290431042553904
0,0.36064237797102416,0.6,0.1,0.6915780061707794
0,0.18490656915684583,0.0,0.0,0.03940022670125206
0,0.33109114076453955,0.2,0.2,0.018289765210968447
0,0.30836222095786514,0.2,0.1,0.05485199486089339
0,0.5841722609328659,0.6,0.2,0.2949833451526882
1,0.7686462614610996,0.8,1.0,0.9673428505441801
0,0.24510577457194802,0.2,0.2,0.011891408489507616
0,0.41702284372332965,0.6,0.0,0.15782809245361637
1,0.42838520196413676,0.4,0.5,0.728137068071345
0,0.727518781662339,0.8,0.4,0.6727093646303495
0,0.4426679112715525,0.6,0.4,0.15990309397289246
1,0.8023488289816982,0.8,0.8,0.9558032954206954
0,0.39468349336672576,0.6,0.2,0.12551183495475005
0,0.19370943030345444,0.6,0.3,0.04465685263675675
0,0.3567923389148868,0.4,0.3,0.3125304739898144
0,0.4354966651660143,0.4,0.1,0.07398776848069248
0,0.35867439988361244,0.8,0.4,0.43257116001730295
0,0.7417039883018606,0.4,1.0,0.9589690587869819
0,0.43293253380998953,0.6,0.0,0.1878554623140857
0,0.28477512260874777,0.4,0.0,0.11436617440595848
1,0.7272661134474367,0.6,0.7,0.9999999999976801
0,0.4055656664179128,0.8,0.0,0.17766052559172474
0,0.35695130203684317,0.0,0.0,0.09583944871748946
0,0.5893413911805216,0.6,0.0,0.8798125774339937
0,0.24768550109306248,0.0,0.4,0.04683973309044036
0,0.6237526795853598,0.6,0.6,0.7662902277229561
0,0.2956316680298673,0.2,0.0,0.08915202300673855
0,0.8507948919868749,0.6,0.7,0.9958149951920993
0,0.5512857449796147,0.8,0.6,0.5817685244995712
0,0.2936161553274618,0.2,0.3,0.030709078903380198
0,0.41425141235906204,0.8,0.2,0.032530378011233554
