Severity,LR,KNN,RF,NB
0,0.7882260426881683,0.6,0.5,0.999281824379148
0,0.38228510025230344,0.2,0.2,0.45588266883408635
1,0.584133015919533,0.2,0.5,0.9999999999984475
0,0.5763433276603311,0.2,0.3,0.9474884591060271
0,0.4029615445713898,0.6,0.3,0.3372766185608362
0,0.2321134214612711,0.0,0.4,0.0038881212518844513
1,0.16199014070745635,0.0,0.5,0.006320226842231469
0,0.5279591212899534,0.4,0.2,0.9843187920963204
0,0.31543450480840995,0.0,0.1,0.013321937276378286
1,0.269041975258471,0.6,0.5,0.1255467002856279
0,0.2509979843383101,0.2,0.2,0.09227476210197892
0,0.5628915233746901,0.4,0.4,0.9152628111775775
0,0.5975384420296022,0.6,0.0,0.8117786854547188
0,0.3564640946786917,0.6,0.2,0.002368257975002954
1,0.7785926979810797,0.8,1.0,0.9874879288573468
1,0.28653673498198656,0.2,0.5,0.015115959720955502
1,0.6325808873114007,0.4,0.9,0.8884508528498871
1,0.4033579583433097,0.2,0.8,0.35598361488828617
0,0.19137443248741326,0.2,0.1,0.1173622430401808
1,0.2762531246233083,0.4,0.0,0.001636380940572527
0,0.4706949322125848,0.6,0.6,0.011051325498854063
1,0.8239643746956953,0.6,0.8,0.9999999999020659
1,0.5954669587015098,0.6,0.7,0.08238961500281074
1,0.43819296749836406,0.4,0.5,0.009854700298567363
1,0.6697630826960309,0.8,0.5,0.042186732832143005
1,0.8541894286428504,0.8,0.6,0.999976430187841
1,0.31609202847154627,0.8,0.7,0.27720797243465023
1,0.7887180870194255,0.8,0.9,0.999658687820915
1,0.34826682996699626,0.4,0.7,0.8383893682230472
1,0.829814700416626,1.0,0.8,0.9238245926504414
0,0.32152305401545933,0.0,0.1,0.1318116663295856
1,0.792477436104115,0.2,0.9,0.9998527344982677
0,0.39856516080822535,0.4,0.2,0.014843803710544176
0,0.3199957092155128,0.4,0.1,0.02853497667708906
0,0.4577174830084639,0.6,0.7,0.7129863709080783
0,0.12776397453271582,0.0,0.2,0.00420432623936013
0,0.2824495839050374,0.2,0.0,0.026106375478538914
0,0.3626766767385571,0.6,0.3,0.010945921916153248
0,0.6264336400842725,0.4,0.4,0.4357113518219382
1,0.7661633526808299,0.8,0.8,0.9988729925351073
0,0.4472141291614338,0.6,0.2,0.06700973433098634
0,0.29167270054108735,0.0,0.4,0.0911932229251921
1,0.43324962096656966,0.2,0.8,0.9513727294658877
0,0.5689591292755437,0.6,0.3,0.0252582188637618
0,0.31831617495270675,0.2,0.4,0.2623336605652797
1,0.8810433239863416,0.6,1.0,0.9264986188639032
0,0.3830683708220037,0.6,0.2,0.1035327663292266
0,0.1858632427986446,0.4,0.3,0.010165495457432302
0,0.3503680846704281,0.2,0.4,0.3103986026303145
0,0.3091536856233261,0.2,0.0,0.0029872809189985033
0,0.35539224329486535,0.2,0.0,0.18931819841178427
0,0.7284194254535022,0.4,0.8,0.717847822139582
0,0.47747241004668134,0.6,0.1,0.14805838748331046
0,0.22889801022205614,0.2,0.1,0.03328915315785744
1,0.625025973858966,0.4,0.6,0.9999999999073079
0,0.38048239929621286,0.4,0.3,0.02394224256581019
0,0.160024131829438,0.2,0.0,0.0002903695730253519
0,0.37647176445911856,0.4,0.1,0.38852140516314687
0,0.262861129688252,0.2,0.1,0.012001312229999471
0,0.6140160469532946,0.6,0.8,0.7222836035804119
0,0.28591491834314015,0.2,0.0,0.12540176288291618
0,0.8750224825918982,0.8,0.5,0.8353753191851913
0,0.6231510625964531,0.8,0.4,0.3381716443812367
0,0.41225876644569787,0.2,0.2,0.11638229946867494
0,0.49594217316108613,0.4,0.2,0.04441085320762076
0,0.34411860119694393,0.4,0.3,0.0769192084389201
0,0.5677267437895989,0.6,0.7,0.36443629962940066
0,0.12999519764147172,0.0,0.5,1.3238209614420007e-06
